dim,geom,method,n,size_param,t_asm,t_mv,mem_bytes,compression,rel_err,maxrank
2,volume,full,256,16,1.036543e-03,7.421000e-06,524336,9.999085e-01,0.000000e+00,0
2,volume,fmm,256,16,9.179900e-05,2.411270e-04,119704,4.379870e+00,6.795434e-15,0
2,volume,hmatrix,256,16,1.212896e-03,2.978400e-05,549984,9.532786e-01,5.014452e-16,0
2,volume,h2_proxy_aca,256,16,2.680379e-02,4.075500e-05,405880,1.291732e+00,1.624618e-07,38
2,volume,h2_nca,256,16,2.498217e-03,4.116100e-05,338976,1.546682e+00,1.687341e-07,22
2,volume,h2_nnca,256,16,2.221096e-03,4.022000e-05,325128,1.612559e+00,1.591003e-07,20
2,volume,h2_proxy_dense,256,16,5.334858e-03,3.794900e-05,396728,1.321530e+00,1.389115e-07,38
2,volume,h2_hara,256,16,2.608705e-01,4.650500e-05,853480,6.142944e-01,4.138842e-07,96
2,volume,h2_fmm,256,16,3.945113e-01,7.067100e-05,853480,6.142944e-01,4.138842e-07,96
2,volume,full,576,24,7.058078e-03,4.854500e-05,2654256,9.999819e-01,0.000000e+00,0
2,volume,fmm,576,24,5.614920e-04,1.918877e-03,346872,7.651837e+00,5.244595e-15,0
2,volume,h2_proxy_aca,576,24,1.996700e-02,3.029470e-04,1373032,1.933100e+00,8.385733e-05,38
2,volume,h2_nca,576,24,1.275037e-02,2.963050e-04,1177144,2.254786e+00,5.586231e-05,23
2,volume,h2_nnca,576,24,3.694906e-02,5.013420e-04,1146208,2.315643e+00,8.434278e-05,21
2,volume,h2_proxy_dense,576,24,2.066715e-02,2.166910e-04,1268992,2.091588e+00,8.385461e-05,38
2,volume,h2_hara,576,24,3.490003e+00,3.071620e-04,2475848,1.072040e+00,5.114672e-07,96
2,volume,h2_fmm,576,24,7.364629e+00,3.117380e-04,2475848,1.072040e+00,5.114672e-07,96
2,volume,full,1024,32,1.992400e-02,4.483690e-04,8388656,9.999943e-01,0.000000e+00,0
2,volume,fmm,1024,32,3.711780e-04,2.174839e-03,405976,2.066282e+01,1.615648e-15,0
2,volume,hmatrix,1024,32,1.545019e-02,3.874670e-04,4673040,1.795107e+00,3.691623e-07,0
2,volume,h2_proxy_aca,1024,32,3.406121e-02,6.416940e-04,2367896,3.542642e+00,4.601427e-02,38
2,volume,h2_nca,1024,32,3.841164e-02,3.235840e-04,1847416,4.540725e+00,1.394881e-04,20
2,volume,h2_nnca,1024,32,2.110769e-02,3.223120e-04,1820728,4.607282e+00,1.078343e-04,20
2,volume,h2_proxy_dense,1024,32,4.440406e-02,3.576290e-04,2441792,3.435431e+00,4.601425e-02,38
2,volume,h2_hara,1024,32,4.267098e+01,5.484240e-04,4744400,1.768107e+00,2.091408e-02,96
2,volume,h2_fmm,1024,32,1.724328e+01,7.802320e-04,4744400,1.768107e+00,1.919819e-02,96
2,volume,full,2304,48,9.897790e-02,2.434052e-03,42467376,9.999989e-01,0.000000e+00,0
2,volume,fmm,2304,48,1.397152e-03,7.929234e-03,1377512,3.082901e+01,3.026725e-15,0
