dim,geom,method,n,size_param,t_asm,t_mv,mem_mb,rel_err,maxrank
2,volume,bem_proxy,256,16,7.197962e-03,4.101900e-05,3.884506e-01,2.177722e-07,38
2,volume,bem_nca,256,16,2.397745e-03,4.075400e-05,3.234711e-01,7.652746e-08,22
2,volume,bem_nnca,256,16,1.968838e-03,4.032800e-05,3.032455e-01,8.361936e-08,15
2,volume,h2m_cheb,256,16,1.152421e-03,2.451100e-05,5.066299e-01,1.289961e-03,16
2,volume,h2m_ada,256,16,1.325477e-03,1.743300e-05,5.288467e-01,7.887662e-16,0
2,volume,bem_proxy,1024,32,2.592706e-02,3.386720e-04,2.166916e+00,3.674213e-07,38
2,volume,bem_nca,1024,32,1.663882e-02,3.104250e-04,1.731148e+00,6.763446e-04,22
2,volume,bem_nnca,1024,32,3.766745e-02,3.102120e-04,1.746109e+00,1.157624e-04,21
2,volume,h2m_cheb,1024,32,6.286488e-03,1.382960e-04,2.818901e+00,9.613291e-04,16
2,volume,h2m_ada,1024,32,2.219760e-01,2.021370e-04,4.641800e+00,5.517360e-05,194
2,volume,bem_proxy,2304,48,1.006317e-01,1.784284e-03,6.215462e+00,2.323331e-05,38
2,volume,bem_nca,2304,48,6.758948e-02,1.721972e-03,5.272621e+00,1.680122e-04,24
2,volume,bem_nnca,2304,48,7.563148e-02,1.678157e-03,5.301888e+00,8.048335e-05,23
2,volume,h2m_cheb,2304,48,2.185740e-02,7.795720e-04,7.774971e+00,6.005852e-04,16
2,volume,h2m_ada,2304,48,8.715654e-01,1.224196e-03,1.015353e+01,5.410327e-05,215
2,volume,bem_proxy,4096,64,1.100216e-01,2.125130e-03,1.019606e+01,1.857756e-06,37
2,volume,bem_nca,4096,64,7.792625e-02,1.858784e-03,8.171600e+00,5.854984e-04,23
2,volume,bem_nnca,4096,64,1.228902e-01,1.770689e-03,8.591583e+00,2.539083e-04,23
2,volume,h2m_cheb,4096,64,3.175414e-02,1.570207e-03,1.364668e+01,1.573342e-03,16
2,volume,h2m_ada,4096,64,6.402723e-01,2.596010e-03,2.167883e+01,1.315635e-04,216
2,volume,bem_proxy,10000,100,3.962666e-01,1.071761e-02,2.873560e+01,NaN,38
2,volume,bem_nca,10000,100,3.051504e-01,9.539954e-03,2.350281e+01,0.000000e+00,24
2,volume,bem_nnca,10000,100,5.603073e-01,9.004750e-03,2.456642e+01,6.380161e-04,26
2,volume,h2m_cheb,10000,100,9.446551e-02,5.429760e-03,3.652538e+01,1.378470e-03,16
2,volume,h2m_ada,10000,100,2.228636e+00,7.143431e-03,4.896632e+01,7.559716e-04,212
2,boundary,bem_proxy,512,512,7.587155e-03,8.156400e-05,3.943710e-01,6.974594e-02,38
