method,n,n1d,t_asm,t_mv,mem_mb,err
dense,256,16,1.447097e-03,8.372000e-06,5.000458e-01,0.000000e+00
hmatrix,256,16,8.131890e-04,3.427700e-05,5.497131e-01,4.417850e-16
h2,256,16,6.479731e-03,5.918800e-05,5.927658e-01,2.718185e-08
fmm,256,16,6.943700e-05,2.049190e-04,9.612274e-02,2.112802e-13
dense,576,24,9.340644e-03,3.962700e-05,2.531296e+00,0.000000e+00
hmatrix,576,24,3.479394e-03,3.805080e-04,2.099915e+00,3.272671e-07
h2,576,24,1.899054e-02,2.227400e-04,1.894569e+00,1.390595e-07
fmm,576,24,5.648210e-04,1.908199e-03,3.049850e-01,4.606730e-13
dense,1024,32,2.408808e-02,7.879500e-05,8.000046e+00,0.000000e+00
hmatrix,1024,32,5.114480e-03,3.367970e-04,4.897766e+00,2.411226e-07
h2,1024,32,6.635043e-02,5.184060e-04,3.436111e+00,1.748121e-07
fmm,1024,32,6.269450e-04,1.968060e-03,3.528366e-01,1.608799e-13
dense,2304,48,1.506497e-01,1.416136e-03,4.050005e+01,0.000000e+00
hmatrix,2304,48,1.951318e-02,1.538161e-03,1.512730e+01,2.352386e-07
h2,2304,48,1.528505e-01,7.644400e-04,1.028973e+01,6.090252e-07
fmm,2304,48,1.545967e-03,5.112491e-03,1.381783e+00,6.981159e-13
dense,4096,64,3.868140e-01,5.379916e-03,1.280000e+02,0.000000e+00
hmatrix,4096,64,3.742298e-02,2.104376e-03,3.239854e+01,1.829249e-07
h2,4096,64,3.636589e-01,9.787830e-04,1.768407e+01,1.040494e-06
fmm,4096,64,1.534655e-03,7.106019e-03,1.573189e+00,3.066277e-13
hmatrix,6400,80,4.152141e-02,2.689285e-03,6.400426e+01,0.000000e+00
h2,6400,80,4.858486e-01,1.469063e-03,2.939619e+01,4.827005e-06
fmm,6400,80,1.625624e-03,1.130050e-02,1.819283e+00,1.637375e-07
hmatrix,10000,100,1.120825e-01,5.826039e-03,9.966195e+01,0.000000e+00
h2,10000,100,7.312321e-01,3.692429e-03,5.178510e+01,5.068983e-06
fmm,10000,100,6.057690e-03,2.961238e-02,5.825096e+00,4.205627e-07
hmatrix,16384,128,2.338130e-01,1.251836e-02,1.872708e+02,0.000000e+00
h2,16384,128,1.284674e+00,5.003573e-03,8.090526e+01,2.994713e-06
fmm,16384,128,6.399370e-03,3.208510e-02,6.506981e+00,7.280416e-07
hmatrix,25600,160,2.581604e-01,1.665918e-02,3.484989e+02,0.000000e+00
h2,25600,160,2.460478e+00,7.169065e-03,1.325026e+02,4.972363e-06
fmm,25600,160,6.346000e-03,4.871368e-02,7.491356e+00,1.020398e-06
hmatrix,40000,200,4.305582e-01,3.777599e-02,5.344627e+02,0.000000e+00
h2,40000,200,3.055663e+00,1.882870e-02,2.228727e+02,6.225687e-06
fmm,40000,200,2.722139e-02,1.071535e-01,2.489623e+01,6.423865e-07
hmatrix,65536,256,7.373875e-01,5.708262e-02,9.812270e+02,0.000000e+00
h2,65536,256,5.602087e+00,2.312876e-02,3.476484e+02,2.037758e-06
fmm,65536,256,2.624764e-02,1.416718e-01,2.762377e+01,2.439944e-07
hmatrix,100489,317,1.584817e+00,8.200377e-02,1.716660e+03,0.000000e+00
h2,100489,317,8.024047e+00,2.962940e-02,5.506802e+02,6.800991e-06
fmm,100489,317,7.422394e-02,2.084500e-01,3.135715e+01,1.030072e-06
