y,T
0.000000000000000000e+00,1.433562782640659616e+00
2.000000000000000042e-02,1.436294776725536959e+00
4.000000000000000083e-02,1.444062055917294085e+00
5.999999999999999778e-02,1.457159207757586117e+00
8.000000000000000167e-02,1.475520956400679262e+00
1.000000000000000056e-01,1.500015057165366317e+00
1.199999999999999956e-01,1.530464450076208571e+00
1.400000000000000133e-01,1.567528396210901676e+00
1.600000000000000033e-01,1.612325454232861111e+00
1.799999999999999933e-01,1.666188279278662643e+00
2.000000000000000111e-01,1.728606613878318266e+00
2.200000000000000011e-01,1.799004751130620416e+00
2.399999999999999911e-01,1.878071291116133024e+00
2.599999999999999534e-01,1.964500432763006010e+00
2.800000000000000266e-01,2.056624542499910557e+00
2.999999999999999889e-01,2.152285294392188408e+00
3.200000000000000067e-01,2.248912275978604214e+00
3.400000000000000244e-01,2.343666956271767798e+00
3.599999999999999867e-01,2.433822026978672337e+00
3.799999999999999489e-01,2.516676135711430007e+00
4.000000000000000222e-01,2.590369393834379252e+00
4.199999999999999845e-01,2.653425888933970800e+00
4.400000000000000022e-01,2.704078908271102755e+00
4.600000000000000200e-01,2.740536636849694840e+00
4.799999999999999822e-01,2.762102735782984375e+00
4.999999999999999445e-01,2.769439311659117831e+00
5.200000000000000178e-01,2.762123838700052847e+00
5.400000000000000355e-01,2.740388619724708708e+00
5.600000000000000533e-01,2.703950568068652860e+00
5.799999999999999600e-01,2.652710826854709936e+00
5.999999999999999778e-01,2.589397311217588094e+00
6.199999999999999956e-01,2.515744743285849072e+00
6.400000000000000133e-01,2.432410895959137953e+00
6.600000000000000311e-01,2.342036450695979877e+00
6.800000000000000488e-01,2.247227297396054535e+00
6.999999999999999556e-01,2.150665032725961989e+00
7.199999999999999734e-01,2.054961821902617558e+00
7.399999999999999911e-01,1.963390958675851117e+00
7.600000000000000089e-01,1.877207072131810373e+00
7.800000000000000266e-01,1.798679070174740158e+00
8.000000000000000444e-01,1.728380303675074892e+00
8.199999999999999512e-01,1.666871189295183964e+00
8.399999999999999689e-01,1.613207346164324818e+00
8.599999999999999867e-01,1.568485087101659126e+00
8.800000000000000044e-01,1.530981576999572047e+00
9.000000000000000222e-01,1.500239741756182799e+00
9.200000000000000400e-01,1.475850506519645000e+00
9.399999999999999467e-01,1.457833321036167584e+00
9.599999999999999645e-01,1.444907502167267044e+00
9.799999999999999822e-01,1.436877514598497108e+00
1.000000000000000000e+00,1.433894455731506978e+00
