N,P,w_lin,w_nl
1,1,0.014788261414869575,0.28883474825413186
1,25,0.36970653537173936,1.1277039374875075
1,50,0.7394130707434787,1.5471385321041955
1,75,1.109119606115218,1.5471385321041955
1,100,1.4788261414869575,1.5471385321041955
1,125,1.8485326768586967,1.5471385321041955
1,150,2.218239212230436,1.5471385321041955
1,175,2.587945747602175,1.5471385321041955
1,200,2.957652282973915,1.5471385321041955
1,225,3.327358818345654,1.5471385321041955
1,250,3.6970653537173934,1.5471385321041955
1,275,4.066771889089133,1.5471385321041955
1,300,4.436478424460872,1.5471385321041955
2,1,0.0069176042955885276,0.10155673866721837
2,25,0.1729401073897132,0.16480843743737278
2,50,0.3458802147794264,0.3248405266816812
2,75,0.5188203221691395,0.49461753151814153
2,100,0.6917604295588528,0.6767836361117713
2,125,0.8647005369485661,0.8670058395743991
2,150,1.037640644338279,1.0442706472990742
2,175,1.2105807517279925,0.7816709435413313
2,200,1.3835208591177055,0.6574312266688462
2,225,1.5564609665074187,0.6574312266688462
2,250,1.7294010738971322,0.6574312266688462
2,275,1.9023411812868452,0.6574312266688462
2,300,2.075281288676558,0.6574312266688462
3,1,0.006410370325060377,0.09416229967828246
3,25,0.16025925812650943,0.1522970805111174
3,50,0.32051851625301886,0.2948654707639153
3,75,0.4807777743795283,0.4394285782982816
3,100,0.6410370325060377,0.5906069784213283
3,125,0.8012962906325471,0.7471703945455815
3,150,0.9615555487590566,0.9087781757305813
3,175,1.121814806885566,1.0298605388917097
3,200,1.2820740650120754,0.8023237084092697
3,225,1.4423333231385849,0.6760789936593106
3,250,1.6025925812650943,0.9350683508623895
3,275,1.7628518393916037,0.9350683508623895
3,300,1.9231110975181132,0.9350683508623895
4,1,0.0062557863766832455,0.09192016611761253
4,25,0.1563946594170811,0.148574716165776
4,50,0.3127893188341622,0.2863569433048763
4,75,0.4691839782512434,0.4242424781061245
4,100,0.6255786376683244,0.5670734737259289
4,125,0.7819732970854057,0.7143952648471796
4,150,0.9383679565024868,0.8660426316509825
4,175,1.094762615919568,1.0125565081550452
4,200,1.2511572753366489,0.8955806125959039
4,225,1.4075519347537302,0.7581022941396074
4,250,1.5639465941708115,0.6004504593264134
4,275,1.7203412535878926,0.6004504593264134
4,300,1.8767359130049737,0.6004504593264134
5,1,0.006187677914562902,0.09093351682135037
5,25,0.15469194786407253,0.14694579501813318
5,50,0.30938389572814506,0.28268798717098714
5,75,0.46407584359221765,0.4177625376892384
5,100,0.6187677914562901,0.5570722969688469
5,125,0.7734597393203627,0.700475520298059
5,150,0.9281516871844353,0.847861359654753
5,175,1.0828436350485078,0.9945831224811947
5,200,1.2375355829125803,0.9548839308664339
5,225,1.392227530776653,0.7734576391682275
5,250,1.5469194786407254,1.0093216149142719
5,275,1.701611426504798,1.1693866077347532
5,300,1.8563033743688706,1.1693866077347532
