kind,theta,P,w_lin,w_nl
anti,0,100,0.635035006753956,0.635035006753958
anti,0,200,1.270070013507912,1.270070013507916
anti,0,300,1.9051050202618682,1.9051050202618682
anti,15,100,0.6601305487609601,0.3710551351436579
anti,15,200,1.3202610975219202,0.48247744558639866
anti,15,300,1.9803916462828808,0.1722083848120308
anti,30,100,0.5797432821958418,0.3038202499103057
anti,30,200,1.1594865643916836,0.3919649988066449
anti,30,300,1.7392298465875256,0.4144973575033099
anti,45,100,0.557524856301136,0.3970244063603083
anti,45,200,1.115049712602272,0.674875714280835
anti,45,300,1.6725745689034082,0.9458132158561927
anti,60,100,0.5797432821955812,0.3037969104041578
anti,60,200,1.1594865643911625,0.39184645818438046
anti,60,300,1.739229846586744,0.413478242430408
anti,75,100,0.6601305487602755,0.37102745326644704
anti,75,200,1.320261097520551,0.4824287448641773
anti,75,300,1.9803916462808269,0.1724525644674542
anti,90,100,0.6217166709824187,0.6217166709824189
anti,90,200,1.2434333419648373,1.2434333419648378
anti,90,300,1.865150012947256,1.865150012947256
sym,0,100,0.635035006753956,0.635035006753958
sym,0,200,1.270070013507912,1.270070013507916
sym,0,300,1.9051050202618682,1.9051050202618682
sym,15,100,1.0010196287348396,0.2975752723894611
sym,15,200,2.0020392574696793,2.0020392574696713
sym,15,300,3.0030588862045193,3.0030588862045193
sym,30,100,1.0366351770554427,0.2629809570525719
sym,30,200,2.0732703541108854,2.073270354110886
sym,30,300,3.109905531166328,3.109905531166328
sym,45,100,680.7043905754729,NaN
sym,45,200,1361.4087811509457,NaN
sym,45,300,2042.1131717264188,NaN
sym,60,100,14256.939757994742,NaN
sym,60,200,28513.879515989483,NaN
sym,60,300,42770.81927398422,NaN
sym,75,100,0.6228985009129878,0.3764725650264929
sym,75,200,1.2457970018259756,0.8887134691084931
sym,75,300,1.8686955027389633,1.8686955027389633
sym,90,100,0.6217166709823093,0.6217166709823105
sym,90,200,1.2434333419646186,1.243433341964621
sym,90,300,1.865150012946928,1.865150012946928
