L_h,P,BEM_lin,BEM_nl,Present,e_pct
40,50,0.3517954246654974,0.2789538584884809,0.2936,-4.988467817274899
40,100,0.7035908493309948,0.43302909212360824,0.4643,-6.7350652329079805
40,150,1.0553862739964923,0.5386822024918333,0.5798,-7.091720853426472
40,200,1.4071816986619896,0.6210995301819946,0.6683,-7.0627666942997775
40,250,1.7589771233274871,0.6897328471405985,0.7407,-6.880944087944048
20,50,0.38717179982922134,0.29326645595979106,0.3126,-6.184754971276049
20,100,0.7743435996584427,0.44714848600257806,0.4807,-6.979719991142491
20,150,1.161515399487664,0.552750559776557,0.5928,-6.755978445250174
20,200,1.5486871993168854,0.6354368028663899,0.6784,-6.33301844540243
20,250,1.9358589991461066,0.7044820294172991,0.7486,-5.893397085586554
10,50,0.5185334242457695,0.33474556227630115,0.3609,-7.247004079717056
10,100,1.037066848491539,0.48862405995088964,0.5179,-5.652817155649813
10,150,1.5556002727373086,0.5940922011016605,0.6213,-4.379172525082804
10,200,2.074133696983078,0.676692008234396,0.7005,-3.3987140279234827
10,250,2.5926671212288475,0.745610052765271,0.7659,-2.6491640207245055
