stack,L_h,P,BEM_lin_sine,HSDT_lin,FSDT_lin,e_lin_HSDT,e_lin_FSDT,BEM_nl,HSDT_nl,FSDT_nl,e_nl_HSDT,e_nl_FSDT
[0/90/90/0],4,50,0.8683102058861323,0.947,0.856,-8.309376358380959,1.4381081642677918,0.30429890167919216,0.7198,0.6791,-57.724520466908565,-55.190855296835196
[0/90/90/0],4,100,1.7366204117722646,1.894,1.712,-8.309376358380959,1.4381081642677918,0.4098580703973944,1.1214,1.0788,-63.451215409542144,-62.00796529501349
[0/90/90/0],4,200,3.473240823544529,3.787,3.423,-8.285164416569073,1.467742434838711,0.5390459859602824,1.6555,1.6111,-67.43908269644926,-66.54174253862067
[0/90/90/0],4,300,5.209861235316794,5.681,5.135,-8.293236484478198,1.4578624209696962,0.6279419654125582,2.0447,1.9877,-69.28928618317806,-68.4086147098376
[0/90/90/0],10,50,0.33654194291775613,0.357,0.331,-5.730548202309203,1.674302996300941,0.23070748906021102,0.3474,0.3236,-33.59024494524726,-28.70596753392737
[0/90/90/0],10,100,0.6730838858355123,0.715,0.662,-5.86239358943884,1.674302996300941,0.3389149137803153,0.6501,0.6121,-47.86726445465077,-44.63079337031281
[0/90/90/0],10,200,1.3461677716710245,1.43,1.324,-5.86239358943884,1.674302996300941,0.4716830214537329,1.1148,1.0667,-57.689000587214494,-55.78109857938194
[0/90/90/0],10,300,2.019251657506537,2.144,1.986,-5.818486123762277,1.6743029963009524,0.5635714751169265,1.4612,1.41,-61.43091465118215,-60.03039183567897
[0/90/90/0],20,50,0.24820711496657488,0.253,0.245,-1.894420961828111,1.3090265169693416,0.19876547292337957,0.2504,0.2428,-20.620817522612,-18.136131415412038
[0/90/90/0],20,100,0.49641422993314976,0.506,0.49,-1.894420961828111,1.3090265169693416,0.3080960816931416,0.4872,0.4734,-36.76188799401855,-34.918444931740254
[0/90/90/0],20,200,0.9928284598662995,1.012,0.98,-1.894420961828111,1.3090265169693416,0.440046353263005,0.896,0.8763,-50.887683787611046,-49.783595428163295
[0/90/90/0],20,300,1.4892426897994493,1.518,1.47,-1.894420961828111,1.3090265169693416,0.5298882145563069,1.2255,1.2024,-56.761467600464556,-55.93078721254933
[0/90/90/0],100,50,0.21712501808389714,0.217,0.216,0.057612020229098504,0.5208417055079373,0.18369733118976073,0.2159,0.215,-14.915548314145104,-14.559380841971754
[0/90/90/0],100,100,0.4342500361677943,0.434,0.432,0.057612020229098504,0.5208417055079373,0.29417563581098577,0.4243,0.4226,-30.668009471839323,-30.38910652839901
[0/90/90/0],100,200,0.8685000723355886,0.868,0.865,0.057612020229098504,0.4046326399524367,0.42870042839323713,0.7993,0.7967,-46.365516277588256,-46.19048218987861
[0/90/90/0],100,300,1.3027501085033828,1.303,1.297,-0.019178165511676008,0.4433391290194963,0.5193812028453471,1.1146,1.1117,-53.40200943429508,-53.28045310377376
[0/90/0],4,50,0.90820052193142,0.961,0.889,-5.494222483723204,2.159788743691785,0.3045711441978399,0.7262,0.6948,-58.0596055910438,-56.16419916553829
[0/90/0],4,100,1.81640104386284,1.922,1.778,-5.494222483723204,2.159788743691785,0.40899262353792537,1.1284,1.0788,-63.75464165739762,-62.088188400266475
[0/90/0],4,200,3.63280208772568,3.844,3.556,-5.494222483723204,2.159788743691785,0.536898115276018,1.6606,1.6316,-67.66842615464182,-67.09376591836123
[0/90/0],4,300,5.44920313158852,5.765,5.335,-5.477829460736849,2.1406397673574573,0.6249799792955798,2.0472,2.0078,-69.47147424308422,-68.87239868036758
[0/90/0],10,50,0.3394282468755268,0.356,0.334,-4.654986832717184,1.6252236154271817,0.22889560860028935,0.3462,0.3264,-33.88341750424918,-29.872668933734886
[0/90/0],10,100,0.6788564937510536,0.712,0.669,-4.654986832717184,1.4733174515775147,0.3350336132443654,0.6478,0.6162,-48.28131935097786,-45.62907931769467
[0/90/0],10,200,1.3577129875021072,1.425,1.338,-4.721895613887215,1.4733174515775147,0.46592083174350857,1.1116,1.0713,-58.08556749338714,-56.50883676435091
[0/90/0],10,300,2.036569481253161,2.137,2.006,-4.699603123389755,1.5239023555912847,0.5568640448557762,1.4586,1.4154,-61.82201804087644,-60.6567723007082
[0/90/0],20,50,0.24750197316344008,0.252,0.246,-1.784931284349175,0.6105581965203596,0.19657229190016906,0.2494,0.2432,-21.18191984756654,-19.172577343680484
[0/90/0],20,100,0.49500394632688016,0.504,0.491,-1.784931284349175,0.8154676836823157,0.3026794024143711,0.4849,0.4737,-37.57900548270343,-36.10314494102363
[0/90/0],20,200,0.9900078926537603,1.008,0.982,-1.784931284349175,0.8154676836823157,0.42942727554504523,0.8921,0.8752,-51.863325238757405,-50.933812209204156
[0/90/0],20,300,1.4850118389806404,1.513,1.473,-1.8498454077567434,0.8154676836823006,0.5156908007169063,1.219,1.1999,-57.69558648753845,-57.02218512235133
[0/90/0],100,50,0.2158874551534103,0.217,0.216,-0.5126934776911097,-0.05210409564338297,0.1821644340188812,0.2158,0.2149,-15.586453188655609,-15.232929725974323
[0/90/0],100,100,0.4317749103068206,0.434,0.432,-0.5126934776911097,-0.05210409564338297,0.2913166753896865,0.4238,0.4222,-31.260812791485023,-31.000313740007943
[0/90/0],100,200,0.8635498206136412,0.868,0.865,-0.5126934776911097,-0.16765079611084738,0.4239144353226769,0.7969,0.7945,-46.80456326732627,-46.6438722060822
[0/90/0],100,300,1.2953247309204619,1.303,1.297,-0.5890459769407586,-0.1291649251764131,0.5123097105659039,1.1101,1.1074,-53.85012966706569,-53.73760966535092
