flat profile, sorted by count
 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     8         0 @Base/array.jl          838 collect(itr::Base.Generator{Vecto…
     8         0 @Base/array.jl          864 collect_to_with_first!
     8         0 @Base/array.jl          886 collect_to!
     9         0 @BEM/…c/Core/Integration.jl  233 closest_point_1d(poly::BEM.Legend…
     9         0 @BEM/…c/Core/Integration.jl  898 _proj1d_rj
     9         0 @BEM/…Core/Assembly_full.jl  572 _quad_geom(dad::BEMdata{Elasticit…
    10         0 @BEM/…Core/Assembly_full.jl   97 H_G_full_direct(dad::BEMdata{Elas…
    10         0 @BEM/…Core/Assembly_full.jl  656 _collocation_loop!(body::BEM.var"…
    10         0 @Base/threadingconstructs.jl  216 macro expansion
    10         0 @Base/threadingconstructs.jl  192 threading_run(fun::BEM.var"#_coll…
    10         0 @Base/task.jl           312 _wait(t::Task)
    10         0 @Base/condition.jl      136 wait
    10         0 @Base/condition.jl      141 wait(c::Base.GenericCondition{Bas…
    10         0 @BEM/…c/Core/Integration.jl 1623 _guiggiani_interp_pair(f::BEM.var…
    10         0 @Base/generator.jl       48 iterate
    10         0 none                      ? #129
    10         0 @BEM/…Core/Assembly_full.jl  360 (::BEM.var"#506#507"{Vector{SVect…
    10         0 @BEM/…Core/Assembly_full.jl  547 _sample_kernel
    11         0 @BEM/…e_elasticity_dibem.jl  426 macro expansion
    11         0 @BEM/…Core/Assembly_full.jl   57 assemble!
    11         0 @BEM/…Core/Assembly_full.jl   59 #assemble!#478
    11         0 @BEM/…Core/Assembly_full.jl   70 H_G_full_direct
    12         0 @BEM/…Core/Assembly_full.jl  264 integrate_element(dad::BEMdata{El…
    12         0 @BEM/…Core/Assembly_full.jl  222 integrate_element(dad::BEMdata{El…
    12         0 @BEM/…c/Core/Integration.jl  228 kwcall(::@NamedTuple{ξ0::Float64}…
    16         0 @BEM/…Core/Assembly_full.jl  239 integrate_element(dad::BEMdata{El…
    16         0 @BEM/…Core/Assembly_full.jl  348 kwcall(::@NamedTuple{orders::Noth…
    16         0 @BEM/…Core/Assembly_full.jl  374 _integrate_singular_guiggiani!(h:…
    16         0 @BEM/…c/Core/Integration.jl  343 kwcall(::@NamedTuple{order_G::Int…
    16         0 @BEM/…c/Core/Integration.jl  354 guiggiani_GH(f::BEM.var"#506#507"…
    16         0 @BEM/…c/Core/Integration.jl 1619 _guiggiani_interp_pair
    20         0 @Base/client.jl         577 _start()
    20         0 @Base/client.jl         344 exec_options(opts::Base.JLOptions)
    20         0 @Base/Base.jl           309 include(mod::Module, _path::Strin…
    20         0 @Base/loading.jl       3076 _include(mapexpr::Function, mod::…
    20         0 @Base/loading.jl       3016 include_string(mapexpr::typeof(id…
    20         0 @Base/boot.jl           489 eval(m::Module, e::Any)
    20         0 @BEM/…e_elasticity_dibem.jl  447 main()
    20         0 @BEM/…e_elasticity_dibem.jl  457 main(args::Vector{String})
    20         0 @BEM/…e_elasticity_dibem.jl  414 dump_profile
    20         0 @BEM/…e_elasticity_dibem.jl  425 dump_profile(dad::BEMdata{Elastic…
    20         0 @Profile/src/Profile.jl   60 macro expansion
    28        24 @BEM/…Core/Interpolation.jl  152 interpolation_matrix(poly::BEM.Le…
    32         0 @BEM/…Core/Interpolation.jl  216 shapefun(poly::BEM.Legendre{Float…
    40         0 @BEM/…Core/Assembly_full.jl  113 (::BEM.var"#488#489"{Bool, BEMdat…
    40         0 @BEM/…Core/Assembly_full.jl  216 integrate_element
    46         0 @Base/threadingconstructs.jl  246 #_collocation_loop!##0
    46         0 @Base/threadingconstructs.jl  279 (::BEM.var"#_collocation_loop!##0…
    46         0 @BEM/…Core/Assembly_full.jl  657 macro expansion
    47         0 @Base/threadingconstructs.jl  178 (::Base.Threads.var"#threading_ru…
   105         0 @Base/task.jl          1196 wait_forever()
   115       114 @Base/task.jl          1296 wait()
Total snapshots: 314. Utilization: 64% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
