 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     8         0 @BEM/…Core/Assembly_full.jl  239 integrate_element(dad::BEMdata{He…
     8         0 @BEM/…Core/Assembly_full.jl  319 kwcall(::@NamedTuple{orders::Noth…
     8         0 @BEM/…Core/Assembly_full.jl  330 _integrate_singular_guiggiani!(h:…
     8         0 @BEM/…c/Core/Integration.jl  433 kwcall(::@NamedTuple{order_G::Int…
     8         0 @BEM/…c/Core/Integration.jl  444 guiggiani_GH(f::BEM.var"#502#503"…
     8         0 @BEM/…c/Core/Integration.jl 1709 _guiggiani_interp_pair
     8         0 @Base/generator.jl       48 iterate
    10        10 @Base/task.jl          1296 wait()
    10         0 @BEM/…Core/Interpolation.jl  216 shapefun(poly::BEM.Legendre{Float…
    16         0 @BEM/…Core/Assembly_full.jl  294 _accumulate_element_scalar!(H::Ma…
    16         0 @BEM/…Core/Assembly_full.jl  216 kwcall(::@NamedTuple{orders::Noth…
    17         0 @Base/threadingconstructs.jl  178 (::Base.Threads.var"#threading_ru…
    17         0 @Base/threadingconstructs.jl  246 #_collocation_loop!##0
    17         0 @Base/threadingconstructs.jl  279 (::BEM.var"#_collocation_loop!##0…
    17         0 @BEM/…Core/Assembly_full.jl  677 macro expansion
    17         0 @BEM/…Core/Assembly_full.jl   33 (::BEM.var"#475#476"{BEMdata{Helm…
    17         0 @BEM/…Core/Assembly_full.jl  284 _accumulate_element_scalar!
Total snapshots: 48. Utilization: 79% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
