t,axis,s,p_dibem,p_exact,error
4.400000000000e-01,x,-2.000000000000e+00,-9.596282372439e-04,2.718116855170e-07,-9.599000489294e-04
4.400000000000e-01,x,-1.986666666667e+00,-1.009718663093e-03,2.690961398795e-07,-1.009987759233e-03
4.400000000000e-01,x,-1.973333333333e+00,-1.055490996800e-03,2.620532976607e-07,-1.055753050098e-03
4.400000000000e-01,x,-1.960000000000e+00,-1.096345499906e-03,2.510211882816e-07,-1.096596521095e-03
4.400000000000e-01,x,-1.946666666667e+00,-1.131634655325e-03,2.364725610033e-07,-1.131871127886e-03
4.400000000000e-01,x,-1.933333333333e+00,-1.160667482404e-03,2.189872139617e-07,-1.160886469618e-03
4.400000000000e-01,x,-1.920000000000e+00,-1.182714739449e-03,1.992238846551e-07,-1.182913963333e-03
4.400000000000e-01,x,-1.906666666667e+00,-1.197014593133e-03,1.778932337870e-07,-1.197192486367e-03
4.400000000000e-01,x,-1.893333333333e+00,-1.202778380558e-03,1.557332752796e-07,-1.202934113833e-03
4.400000000000e-01,x,-1.880000000000e+00,-1.199196177445e-03,1.334882286640e-07,-1.199329665674e-03
4.400000000000e-01,x,-1.866666666667e+00,-1.185441985113e-03,1.118911717120e-07,-1.185553876285e-03
4.400000000000e-01,x,-1.853333333333e+00,-1.160678436990e-03,9.165010647850e-08,-1.160770087096e-03
4.400000000000e-01,x,-1.840000000000e+00,-1.124060992580e-03,7.343626649529e-08,-1.124134428846e-03
4.400000000000e-01,x,-1.826666666667e+00,-1.074741630748e-03,5.787288593455e-08,-1.074799503634e-03
4.400000000000e-01,x,-1.813333333333e+00,-1.011872079230e-03,4.552242986790e-08,-1.011917601660e-03
4.400000000000e-01,x,-1.800000000000e+00,-9.346066279169e-04,3.687059506689e-08,-9.346434985120e-04
4.400000000000e-01,x,-1.786666666667e+00,-8.421045752302e-04,3.230626990805e-08,-8.421368815002e-04
4.400000000000e-01,x,-1.773333333333e+00,-7.335323536962e-04,3.209797814199e-08,-7.335644516743e-04
4.400000000000e-01,x,-1.760000000000e+00,-6.080653751952e-04,3.636887721935e-08,-6.081017440724e-04
4.400000000000e-01,x,-1.746666666667e+00,-4.648896303184e-04,4.507378726113e-08,-4.649347041057e-04
4.400000000000e-01,x,-1.733333333333e+00,-3.032030699599e-04,5.798262241658e-08,-3.032610525823e-04
4.400000000000e-01,x,-1.720000000000e+00,-1.222167927362e-04,7.467467825586e-08,-1.222914674144e-04
4.400000000000e-01,x,-1.706666666667e+00,7.876238748730e-05,9.454734231990e-08,7.866784014498e-05
4.400000000000e-01,x,-1.693333333333e+00,2.990427693273e-04,1.168409922751e-07,2.989259283350e-04
4.400000000000e-01,x,-1.680000000000e+00,5.367802550218e-04,1.406793979961e-07,5.366395756238e-04
4.400000000000e-01,x,-1.666666666667e+00,7.900800509482e-04,1.651222915527e-07,7.899149286567e-04
4.400000000000e-01,x,-1.653333333333e+00,1.057030628080e-03,1.892244533814e-07,1.056841403627e-03
4.400000000000e-01,x,-1.640000000000e+00,1.335703392716e-03,2.120941908074e-07,1.335491298525e-03
4.400000000000e-01,x,-1.626666666667e+00,1.624152465399e-03,2.329438293588e-07,1.623919521569e-03
4.400000000000e-01,x,-1.613333333333e+00,1.920414560439e-03,2.511259330895e-07,1.920163434505e-03
4.400000000000e-01,x,-1.600000000000e+00,2.222508958607e-03,2.661512742530e-07,2.222242807332e-03
4.400000000000e-01,x,-1.586666666667e+00,2.528437565883e-03,2.776876796224e-07,2.528159878203e-03
4.400000000000e-01,x,-1.573333333333e+00,2.836185051454e-03,2.855422000629e-07,2.835899509254e-03
4.400000000000e-01,x,-1.560000000000e+00,3.143719058307e-03,2.896319222248e-07,3.143429426385e-03
4.400000000000e-01,x,-1.546666666667e+00,3.448990479857e-03,2.899505856603e-07,3.448700529271e-03
4.400000000000e-01,x,-1.533333333333e+00,3.749933796785e-03,2.865385979550e-07,3.749647258187e-03
4.400000000000e-01,x,-1.520000000000e+00,4.044467468008e-03,2.794629597477e-07,4.044188005048e-03
4.400000000000e-01,x,-1.506666666667e+00,4.330494370505e-03,2.688112304166e-07,4.330225559274e-03
4.400000000000e-01,x,-1.493333333333e+00,4.605902283004e-03,2.547004617938e-07,4.605647582542e-03
4.400000000000e-01,x,-1.480000000000e+00,4.868564408903e-03,2.372986486954e-07,4.868327110255e-03
4.400000000000e-01,x,-1.466666666667e+00,5.116339934608e-03,2.168533651149e-07,5.116123081243e-03
4.400000000000e-01,x,-1.453333333333e+00,5.347074619592e-03,1.937204464315e-07,5.346880899146e-03
4.400000000000e-01,x,-1.440000000000e+00,5.558601415537e-03,1.683851816552e-07,5.558433030355e-03
4.400000000000e-01,x,-1.426666666667e+00,5.748741112110e-03,1.414695627042e-07,5.748599642547e-03
4.400000000000e-01,x,-1.413333333333e+00,5.915303007801e-03,1.137214679482e-07,5.915189286333e-03
4.400000000000e-01,x,-1.400000000000e+00,6.056085604718e-03,8.598477712484e-08,6.055999619940e-03
4.400000000000e-01,x,-1.386666666667e+00,6.168877326999e-03,5.915273138212e-08,6.168818174268e-03
4.400000000000e-01,x,-1.373333333333e+00,6.251457262973e-03,3.410975827576e-08,6.251423153214e-03
4.400000000000e-01,x,-1.360000000000e+00,6.301595931816e-03,1.166897372321e-08,6.301584262842e-03
4.400000000000e-01,x,-1.346666666667e+00,6.317056076148e-03,-7.486666870116e-09,6.317063562815e-03
4.400000000000e-01,x,-1.333333333333e+00,6.295593482509e-03,-2.285214957966e-08,6.295616334658e-03
4.400000000000e-01,x,-1.320000000000e+00,6.234957831996e-03,-3.413141438808e-08,6.234991963410e-03
4.400000000000e-01,x,-1.306666666667e+00,6.132893584243e-03,-4.124844116753e-08,6.132934832684e-03
4.400000000000e-01,x,-1.293333333333e+00,5.987140898064e-03,-4.433816261579e-08,5.987185236226e-03
4.400000000000e-01,x,-1.280000000000e+00,5.795436592518e-03,-4.371975250989e-08,5.795480312270e-03
