t,p_trixi_0_9_0_0_,p_dibem_0_9_0_0_,p_exact_0_9_0_0_,p_trixi_0_0_0_9_,p_dibem_0_0_0_9_,p_exact_0_0_0_9_,p_trixi_0_65_0_65_,p_dibem_0_65_0_65_,p_exact_0_65_0_65_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.000000000000e-02,-9.395049693301e-20,1.583974194442e-06,1.519617868895e-14,-9.047964281585e-22,1.590115239625e-06,-2.467402530498e-14,-6.854641309544e-28,1.849652705468e-07,3.396209944455e-14
4.000000000000e-02,-2.692399519585e-17,1.151791824659e-05,3.698496897987e-13,-9.570465804247e-19,1.158723601258e-05,-6.438616151675e-13,-5.443120889621e-24,1.350314980271e-06,7.736486298970e-13
6.000000000000e-02,2.220713733922e-16,4.802424297228e-05,2.994081312128e-12,-3.100824297973e-17,4.843949164290e-05,-5.596331531414e-12,-9.886776800089e-23,5.657302050338e-06,5.527984151723e-12
8.000000000000e-02,-2.564398407291e-16,1.542813071549e-04,1.542991160910e-11,-1.207206259249e-16,1.560643357265e-04,-3.052738473745e-11,1.656657595189e-21,1.827022982681e-05,2.368362279989e-11
1.000000000000e-01,-6.805468625037e-15,4.178971417564e-04,6.141584416902e-11,3.888724138305e-16,4.240792226422e-04,-1.264154831185e-10,-1.050276774894e-20,4.977392470616e-05,7.382811085963e-11
1.200000000000e-01,3.518617042611e-14,9.828646734309e-04,2.048099150102e-10,1.410928882186e-15,1.001193954647e-03,-4.317743961356e-10,3.902614979848e-20,1.178591857198e-04,1.785931240481e-10
1.400000000000e-01,-2.238418617834e-14,2.027301352310e-03,5.952746715945e-10,-2.330137829627e-15,2.075172374032e-03,-1.268506210595e-09,3.394048179399e-20,2.451943744890e-04,3.259043818639e-10
1.600000000000e-01,-3.019755524549e-13,3.677981549117e-03,1.538973538940e-09,-9.320002235578e-15,3.789949331978e-03,-3.277132771531e-09,-8.672561385836e-19,4.500152447563e-04,3.404351562502e-10
1.800000000000e-01,5.554970930121e-13,5.866876638942e-03,3.579347522536e-09,2.063607544601e-15,6.103853087980e-03,-7.528364235186e-09,4.088261184755e-18,7.297450372769e-04,-4.109592365187e-10
