t,ricker,antiderivative
0.000000000000e+00,-9.692515861872e-04,-1.293079655095e-05
6.000000000000e-04,-1.011084292050e-03,-1.352481523096e-05
1.200000000000e-03,-1.054588334336e-03,-1.414443195626e-05
1.800000000000e-03,-1.099824237846e-03,-1.479066759165e-05
2.400000000000e-03,-1.146854441145e-03,-1.546457988855e-05
3.000000000000e-03,-1.195743345219e-03,-1.616726464777e-05
3.600000000000e-03,-1.246557362884e-03,-1.689985691179e-05
4.200000000000e-03,-1.299364968926e-03,-1.766353218682e-05
4.800000000000e-03,-1.354236750960e-03,-1.845950769527e-05
5.400000000000e-03,-1.411245461010e-03,-1.928904365880e-05
6.000000000000e-03,-1.470466067770e-03,-2.015344461269e-05
6.600000000000e-03,-1.531975809554e-03,-2.105406075164e-05
7.200000000000e-03,-1.595854247910e-03,-2.199228930762e-05
7.800000000000e-03,-1.662183321877e-03,-2.296957596004e-05
8.400000000000e-03,-1.731047402861e-03,-2.398741627869e-05
9.000000000000e-03,-1.802533350124e-03,-2.504735719977e-05
9.600000000000e-03,-1.876730566846e-03,-2.615099853539e-05
1.020000000000e-02,-1.953731056744e-03,-2.729999451690e-05
1.080000000000e-02,-2.033629481218e-03,-2.849605537230e-05
1.140000000000e-02,-2.116523216997e-03,-2.974094893814e-05
1.200000000000e-02,-2.202512414258e-03,-3.103650230611e-05
1.260000000000e-02,-2.291700055174e-03,-3.238460350470e-05
1.320000000000e-02,-2.384192012870e-03,-3.378720321601e-05
1.380000000000e-02,-2.480097110745e-03,-3.524631652812e-05
1.440000000000e-02,-2.579527182122e-03,-3.676402472314e-05
1.500000000000e-02,-2.682597130184e-03,-3.834247710114e-05
1.560000000000e-02,-2.789424988156e-03,-3.998389284007e-05
1.620000000000e-02,-2.900131979686e-03,-4.169056289196e-05
1.680000000000e-02,-3.014842579386e-03,-4.346485191525e-05
1.740000000000e-02,-3.133684573464e-03,-4.530920024362e-05
1.800000000000e-02,-3.256789120422e-03,-4.722612589110e-05
1.860000000000e-02,-3.384290811743e-03,-4.921822659371e-05
1.920000000000e-02,-3.516327732526e-03,-5.128818188739e-05
1.980000000000e-02,-3.653041521996e-03,-5.343875522238e-05
2.040000000000e-02,-3.794577433842e-03,-5.567279611376e-05
2.100000000000e-02,-3.941084396312e-03,-5.799324232822e-05
2.160000000000e-02,-4.092715071994e-03,-6.040312210669e-05
2.220000000000e-02,-4.249625917219e-03,-6.290555642283e-05
2.280000000000e-02,-4.411977241016e-03,-6.550376127699e-05
2.340000000000e-02,-4.579933263541e-03,-6.820105002534e-05
2.400000000000e-02,-4.753662173898e-03,-7.100083574396e-05
2.460000000000e-02,-4.933336187280e-03,-7.390663362740e-05
2.520000000000e-02,-5.119131601345e-03,-7.692206342125e-05
2.580000000000e-02,-5.311228851736e-03,-8.005085188833e-05
2.640000000000e-02,-5.509812566657e-03,-8.329683530793e-05
2.700000000000e-02,-5.715071620425e-03,-8.666396200743e-05
2.760000000000e-02,-5.927199185884e-03,-9.015629492578e-05
2.820000000000e-02,-6.146392785599e-03,-9.377801420801e-05
2.880000000000e-02,-6.372854341722e-03,-9.753341983013e-05
2.940000000000e-02,-6.606790224427e-03,-1.014269342534e-04
3.000000000000e-02,-6.848411298815e-03,-1.054631051075e-04
3.060000000000e-02,-7.097932970167e-03,-1.096466079008e-04
3.120000000000e-02,-7.355575227440e-03,-1.139822487581e-04
3.180000000000e-02,-7.621562684896e-03,-1.184749671827e-04
3.240000000000e-02,-7.896124621729e-03,-1.231298388445e-04
3.300000000000e-02,-8.179495019591e-03,-1.279520783894e-04
3.360000000000e-02,-8.471912597874e-03,-1.329470422722e-04
3.420000000000e-02,-8.773620846629e-03,-1.381202316089e-04
3.480000000000e-02,-9.084868056993e-03,-1.434772950483e-04
3.540000000000e-02,-9.405907348990e-03,-1.490240316613e-04
3.600000000000e-02,-9.736996696566e-03,-1.547663938457e-04
3.660000000000e-02,-1.007839894973e-02,-1.607104902456e-04
3.720000000000e-02,-1.043038185364e-02,-1.668625886828e-04
3.780000000000e-02,-1.079321806454e-02,-1.732291190986e-04
3.840000000000e-02,-1.116718516229e-02,-1.798166765047e-04
3.900000000000e-02,-1.155256565953e-02,-1.866320239403e-04
3.960000000000e-02,-1.194964700708e-02,-1.936820954333e-04
4.020000000000e-02,-1.235872159565e-02,-2.009739989641e-04
4.080000000000e-02,-1.278008675361e-02,-2.085150194291e-04
4.140000000000e-02,-1.321404474056e-02,-2.163126216014e-04
4.200000000000e-02,-1.366090273675e-02,-2.243744530869e-04
4.260000000000e-02,-1.412097282803e-02,-2.327083472720e-04
4.320000000000e-02,-1.459457198620e-02,-2.413223262615e-04
4.380000000000e-02,-1.508202204462e-02,-2.502246038032e-04
4.440000000000e-02,-1.558364966889e-02,-2.594235881962e-04
4.500000000000e-02,-1.609978632247e-02,-2.689278851800e-04
4.560000000000e-02,-1.663076822697e-02,-2.787463008019e-04
4.620000000000e-02,-1.717693631704e-02,-2.888878442584e-04
4.680000000000e-02,-1.773863618968e-02,-2.993617307082e-04
4.740000000000e-02,-1.831621804771e-02,-3.101773840528e-04
4.800000000000e-02,-1.891003663728e-02,-3.213444396819e-04
4.860000000000e-02,-1.952045117932e-02,-3.328727471787e-04
4.920000000000e-02,-2.014782529455e-02,-3.447723729829e-04
4.980000000000e-02,-2.079252692210e-02,-3.570536030064e-04
5.040000000000e-02,-2.145492823141e-02,-3.697269451982e-04
5.100000000000e-02,-2.213540552733e-02,-3.828031320545e-04
5.160000000000e-02,-2.283433914809e-02,-3.962931230698e-04
5.220000000000e-02,-2.355211335622e-02,-4.102081071243e-04
5.280000000000e-02,-2.428911622196e-02,-4.245595048042e-04
5.340000000000e-02,-2.504573949919e-02,-4.393589706493e-04
5.400000000000e-02,-2.582237849360e-02,-4.546183953240e-04
5.460000000000e-02,-2.661943192300e-02,-4.703499077069e-04
5.520000000000e-02,-2.743730176953e-02,-4.865658768943e-04
5.580000000000e-02,-2.827639312359e-02,-5.032789141122e-04
5.640000000000e-02,-2.913711401950e-02,-5.205018745325e-04
5.700000000000e-02,-3.001987526243e-02,-5.382478589877e-04
5.760000000000e-02,-3.092509024670e-02,-5.565302155796e-04
5.820000000000e-02,-3.185317476515e-02,-5.753625411759e-04
5.880000000000e-02,-3.280454680952e-02,-5.947586827897e-04
5.940000000000e-02,-3.377962636154e-02,-6.147327388370e-04
6.000000000000e-02,-3.477883517477e-02,-6.352990602655e-04
6.060000000000e-02,-3.580259654688e-02,-6.564722515498e-04
6.120000000000e-02,-3.685133508238e-02,-6.782671715474e-04
6.180000000000e-02,-3.792547644551e-02,-7.006989342088e-04
6.240000000000e-02,-3.902544710334e-02,-7.237829091374e-04
6.300000000000e-02,-4.015167405874e-02,-7.475347219906e-04
6.360000000000e-02,-4.130458457333e-02,-7.719702547199e-04
6.420000000000e-02,-4.248460588014e-02,-7.971056456392e-04
6.480000000000e-02,-4.369216488597e-02,-8.229572893201e-04
6.540000000000e-02,-4.492768786322e-02,-8.495418363030e-04
6.600000000000e-02,-4.619160013132e-02,-8.768761926226e-04
6.660000000000e-02,-4.748432572746e-02,-9.049775191370e-04
6.720000000000e-02,-4.880628706669e-02,-9.338632306573e-04
6.780000000000e-02,-5.015790459121e-02,-9.635509948697e-04
6.840000000000e-02,-5.153959640893e-02,-9.940587310435e-04
6.900000000000e-02,-5.295177792114e-02,-1.025404608520e-03
6.960000000000e-02,-5.439486143930e-02,-1.057607044973e-03
7.020000000000e-02,-5.586925579090e-02,-1.090684704440e-03
7.080000000000e-02,-5.737536591444e-02,-1.124656495105e-03
7.140000000000e-02,-5.891359244338e-02,-1.159541566850e-03
7.200000000000e-02,-6.048433127928e-02,-1.195359308533e-03
7.260000000000e-02,-6.208797315391e-02,-1.232129345030e-03
