t,p_dibem_0_9_0_0_,p_exact_0_9_0_0_,error_0_9_0_0_,p_dibem_0_0_0_9_,p_exact_0_0_0_9_,error_0_0_0_9_,p_dibem_0_65_0_65_,p_exact_0_65_0_65_,error_0_65_0_65_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5.000000000000e-03,1.570116224994e-15,4.577548445010e-17,1.524340740544e-15,1.829804956238e-15,-7.210487834474e-17,1.901909834583e-15,-2.355694916388e-16,1.041758361915e-16,-3.397453278303e-16
1.000000000000e-02,7.574654693834e-15,7.936079579998e-16,6.781046735834e-15,9.950670498674e-15,-1.258378781701e-15,1.120904928037e-14,-1.305196993729e-15,1.799741566324e-15,-3.104938560053e-15
1.500000000000e-02,1.802895993292e-14,4.381936327406e-15,1.364702360551e-14,2.896398861520e-14,-7.020427788249e-15,3.598441640345e-14,-3.856442218146e-15,9.878165229652e-15,-1.373460744780e-14
2.000000000000e-02,2.901008945012e-14,1.519617868895e-14,1.381391076117e-14,6.353328141910e-14,-2.467402530498e-14,8.820730672408e-14,-8.811335211042e-15,3.396209944455e-14,-4.277343465559e-14
2.500000000000e-02,3.506684887110e-14,4.093119264836e-14,-5.864343777258e-15,1.202615171441e-13,-6.750974767599e-14,1.877712648201e-13,-1.716211060273e-14,9.042594115281e-14,-1.075880517555e-13
3.000000000000e-02,3.019768069651e-14,9.409342516172e-14,-6.389574446521e-14,2.079736420401e-13,-1.578953872836e-13,3.658690293238e-13,-3.072872480720e-14,2.048271596929e-13,-2.355558845001e-13
3.500000000000e-02,9.300298768075e-15,1.940276830060e-13,-1.847273842380e-13,3.378822486817e-13,-3.315547894636e-13,6.694370381453e-13,-5.227692502663e-14,4.147898096405e-13,-4.670667346672e-13
4.000000000000e-02,-2.938217836194e-14,3.698496897987e-13,-3.992318681607e-13,5.249467158296e-13,-6.438616151675e-13,1.168808330997e-12,-8.534435107551e-14,7.736486298970e-13,-8.589929809726e-13
4.500000000000e-02,-8.267559833092e-14,6.640070750613e-13,-7.466826733922e-13,7.895259456225e-13,-1.177622017810e-12,1.967147963432e-12,-1.324576444227e-13,1.354002409132e-12,-1.486460053555e-12
5.000000000000e-02,-1.483759762446e-13,1.137201085339e-12,-1.285577061583e-12,1.154958022245e-12,-2.053868894435e-12,3.208826916679e-12,-2.016418939167e-13,2.251975941405e-12,-2.453617835322e-12
5.500000000000e-02,-2.219895401606e-13,1.874653101432e-12,-2.096642641592e-12,1.649930481155e-12,-3.445766760042e-12,5.095697241197e-12,-3.023193332520e-13,3.591398322438e-12,-3.893717655690e-12
6.000000000000e-02,-3.008628344999e-13,2.994081312128e-12,-3.294944146628e-12,2.312404851440e-12,-5.596331531414e-12,7.908736382854e-12,-4.424515165881e-13,5.527984151723e-12,-5.970435668311e-12
6.500000000000e-02,-3.928206237850e-13,4.655903515305e-12,-5.048724139090e-12,3.179607247185e-12,-8.841085242765e-12,1.202069248995e-11,-6.429640763562e-13,8.253527078806e-12,-8.896491155162e-12
7.000000000000e-02,-5.028167652185e-13,7.076007384589e-12,-7.578824149807e-12,4.317084748656e-12,-1.363648943545e-11,1.795357418411e-11,-9.093911086826e-13,1.199928605018e-11,-1.290867715887e-11
7.500000000000e-02,-6.669891831675e-13,1.054144586765e-11,-1.120843505082e-11,5.775153576148e-12,-2.059486030494e-11,2.637001388109e-11,-1.273569357387e-12,1.703783707405e-11,-1.831140643143e-11
8.000000000000e-02,-9.314914697910e-13,1.542991160910e-11,-1.636140307890e-11,7.622933158793e-12,-3.052738473745e-11,3.815031789625e-11,-1.770009704585e-12,2.368362279989e-11,-2.545363250448e-11
8.500000000000e-02,-1.337635540273e-12,2.223367032560e-11,-2.357130586588e-11,9.949386229718e-12,-4.449673510418e-11,5.444612133390e-11,-2.421332651989e-12,3.229094345848e-11,-3.471227611047e-11
9.000000000000e-02,-1.989044459908e-12,3.158814192923e-11,-3.357718638914e-11,1.282478470191e-11,-6.387961082757e-11,7.670439552947e-11,-3.301328241292e-12,4.324689756609e-11,-4.654822580738e-11
9.500000000000e-02,-2.900502836056e-12,4.430566202697e-11,-4.720616486303e-11,1.638196034014e-11,-9.043993610673e-11,1.068218964469e-10,-4.408315020255e-12,5.695780895762e-11,-6.136612397787e-11
