t,axis,s,p_dibem,p_exact,error
4.500000000000e-01,x,-2.000000000000e+00,-1.396772833399e-08,3.191589524705e-07,-3.331266808045e-07
4.500000000000e-01,x,-1.986666666667e+00,-1.343646177434e-08,3.157123258635e-07,-3.291487876378e-07
4.500000000000e-01,x,-1.973333333333e+00,-1.333088646212e-08,3.076223685434e-07,-3.209532550055e-07
4.500000000000e-01,x,-1.960000000000e+00,-1.331657563719e-08,2.951075825289e-07,-3.084241581661e-07
4.500000000000e-01,x,-1.946666666667e+00,-1.322018423425e-08,2.785175054636e-07,-2.917376896979e-07
4.500000000000e-01,x,-1.933333333333e+00,-1.301541445451e-08,2.583326067875e-07,-2.713480212420e-07
4.500000000000e-01,x,-1.920000000000e+00,-1.272551457497e-08,2.351619912150e-07,-2.478875057900e-07
4.500000000000e-01,x,-1.906666666667e+00,-1.240333779075e-08,2.097365743616e-07,-2.221399121524e-07
4.500000000000e-01,x,-1.893333333333e+00,-1.210541648545e-08,1.828959652639e-07,-1.950013817494e-07
4.500000000000e-01,x,-1.880000000000e+00,-1.184379376083e-08,1.555680696930e-07,-1.674118634539e-07
4.500000000000e-01,x,-1.866666666667e+00,-1.160580981876e-08,1.287412261178e-07,-1.403470359366e-07
4.500000000000e-01,x,-1.853333333333e+00,-1.137489366956e-08,1.034293748892e-07,-1.148042685587e-07
4.500000000000e-01,x,-1.840000000000e+00,-1.113282622995e-08,8.063130863105e-08,-9.176413486100e-08
4.500000000000e-01,x,-1.826666666667e+00,-1.086390348179e-08,6.128550844483e-08,-7.214941192662e-08
4.500000000000e-01,x,-1.813333333333e+00,-1.055853111470e-08,4.622253207799e-08,-5.678106319269e-08
4.500000000000e-01,x,-1.800000000000e+00,-1.021171132637e-08,3.611746566098e-08,-4.632917698735e-08
4.500000000000e-01,x,-1.786666666667e+00,-9.823499609967e-09,3.144559174244e-08,-4.126909135241e-08
4.500000000000e-01,x,-1.773333333333e+00,-9.396980433819e-09,3.244506645329e-08,-4.184204688711e-08
4.500000000000e-01,x,-1.760000000000e+00,-8.935028536027e-09,3.909084534873e-08,-4.802587388475e-08
4.500000000000e-01,x,-1.746666666667e+00,-8.437185104132e-09,5.108409641854e-08,-5.952128152267e-08
4.500000000000e-01,x,-1.733333333333e+00,-7.904889102751e-09,6.786065532906e-08,-7.576554443181e-08
4.500000000000e-01,x,-1.720000000000e+00,-7.344588417619e-09,8.862057952687e-08,-9.596516794449e-08
4.500000000000e-01,x,-1.706666666667e+00,-6.765721983507e-09,1.123785825142e-07,-1.191443044977e-07
4.500000000000e-01,x,-1.693333333333e+00,-6.175823575990e-09,1.380323243026e-07,-1.442081478786e-07
4.500000000000e-01,x,-1.680000000000e+00,-5.581405157264e-09,1.644426357399e-07,-1.700240408972e-07
4.500000000000e-01,x,-1.666666666667e+00,-4.993130563462e-09,1.905173103398e-07,-1.955104409032e-07
4.500000000000e-01,x,-1.653333333333e+00,-4.425804067191e-09,2.152886690030e-07,-2.197144730702e-07
4.500000000000e-01,x,-1.640000000000e+00,-3.894708591708e-09,2.379751151757e-07,-2.418698237674e-07
4.500000000000e-01,x,-1.626666666667e+00,-3.403823868380e-09,2.580185451078e-07,-2.614223689762e-07
4.500000000000e-01,x,-1.613333333333e+00,-2.954254381547e-09,2.750926394921e-07,-2.780468938737e-07
4.500000000000e-01,x,-1.600000000000e+00,-2.550561091329e-09,2.890813050855e-07,-2.916318661768e-07
4.500000000000e-01,x,-1.586666666667e+00,-2.201891935773e-09,3.000311717886e-07,-3.022330637244e-07
4.500000000000e-01,x,-1.573333333333e+00,-1.915488319512e-09,3.080862707876e-07,-3.100017591071e-07
4.500000000000e-01,x,-1.560000000000e+00,-1.681281716348e-09,3.134160371129e-07,-3.150973188293e-07
4.500000000000e-01,x,-1.546666666667e+00,-1.490557659415e-09,3.161490024556e-07,-3.176395601151e-07
4.500000000000e-01,x,-1.533333333333e+00,-1.342080960113e-09,3.163236841697e-07,-3.176657651298e-07
4.500000000000e-01,x,-1.520000000000e+00,-1.243125262260e-09,3.138653304085e-07,-3.151084556708e-07
4.500000000000e-01,x,-1.506666666667e+00,-1.193036399789e-09,3.085928073530e-07,-3.097858437528e-07
4.500000000000e-01,x,-1.493333333333e+00,-1.172281999586e-09,3.002547581136e-07,-3.014270401132e-07
4.500000000000e-01,x,-1.480000000000e+00,-1.169684296016e-09,2.885891192359e-07,-2.897588035319e-07
4.500000000000e-01,x,-1.466666666667e+00,-1.189281644015e-09,2.733960226830e-07,-2.745853043270e-07
4.500000000000e-01,x,-1.453333333333e+00,-1.247519260516e-09,2.546117384552e-07,-2.558592577157e-07
4.500000000000e-01,x,-1.440000000000e+00,-1.337543806985e-09,2.323710106050e-07,-2.337085544120e-07
4.500000000000e-01,x,-1.426666666667e+00,-1.433913716274e-09,2.070469333310e-07,-2.084808470472e-07
4.500000000000e-01,x,-1.413333333333e+00,-1.530570201339e-09,1.792610542410e-07,-1.807916244424e-07
4.500000000000e-01,x,-1.400000000000e+00,-1.645309684719e-09,1.498610440287e-07,-1.515063537134e-07
4.500000000000e-01,x,-1.386666666667e+00,-1.810744995843e-09,1.198682308039e-07,-1.216789757997e-07
4.500000000000e-01,x,-1.373333333333e+00,-2.003182530992e-09,9.040173994547e-08,-9.240492247646e-08
4.500000000000e-01,x,-1.360000000000e+00,-2.189574855584e-09,6.258921301417e-08,-6.477878786975e-08
4.500000000000e-01,x,-1.346666666667e+00,-2.372869157253e-09,3.747564553745e-08,-3.984851469471e-08
4.500000000000e-01,x,-1.333333333333e+00,-2.595389882464e-09,1.594163470405e-08,-1.853702458652e-08
4.500000000000e-01,x,-1.320000000000e+00,-2.903086928207e-09,-1.359580279565e-09,-1.543506648642e-09
4.500000000000e-01,x,-1.306666666667e+00,-3.236114904663e-09,-1.404005335285e-08,1.080393844818e-08
4.500000000000e-01,x,-1.293333333333e+00,-3.552048231529e-09,-2.198762312159e-08,1.843557489006e-08
4.500000000000e-01,x,-1.280000000000e+00,-3.874540031019e-09,-2.535038116840e-08,2.147584113738e-08
4.500000000000e-01,x,-1.266666666667e+00,-4.297025825906e-09,-2.449982348117e-08,2.020279765526e-08
4.500000000000e-01,x,-1.253333333333e+00,-4.862815196397e-09,-1.997968723529e-08,1.511687203889e-08
4.500000000000e-01,x,-1.240000000000e+00,-5.451536540698e-09,-1.244854128783e-08,6.997004747132e-09
4.500000000000e-01,x,-1.226666666667e+00,-6.019248890434e-09,-2.624002474558e-09,-3.395246415876e-09
4.500000000000e-01,x,-1.213333333333e+00,-6.645087444324e-09,8.764852020744e-09,-1.540993946507e-08
4.500000000000e-01,x,-1.200000000000e+00,-7.525511409668e-09,2.101242145188e-08,-2.853793286154e-08
4.500000000000e-01,x,-1.186666666667e+00,-8.637594888849e-09,3.345696606683e-08,-4.209456095568e-08
4.500000000000e-01,x,-1.173333333333e+00,-9.746859114845e-09,4.548713625259e-08,-5.523399536744e-08
4.500000000000e-01,x,-1.160000000000e+00,-1.081724353012e-08,5.653762211822e-08,-6.735486564834e-08
4.500000000000e-01,x,-1.146666666667e+00,-1.206437209498e-08,6.607855978533e-08,-7.814293188032e-08
4.500000000000e-01,x,-1.133333333333e+00,-1.388129622496e-08,7.360416701934e-08,-8.748546324430e-08
4.500000000000e-01,x,-1.120000000000e+00,-1.604743689008e-08,7.862599188942e-08,-9.467342877950e-08
4.500000000000e-01,x,-1.106666666667e+00,-1.820352883466e-08,8.067515481629e-08,-9.887868365095e-08
4.500000000000e-01,x,-1.093333333333e+00,-2.046000683201e-08,7.931617868014e-08,-9.977618551215e-08
4.500000000000e-01,x,-1.080000000000e+00,-2.346668265477e-08,7.417266907225e-08,-9.763935172702e-08
4.500000000000e-01,x,-1.066666666667e+00,-2.795594055536e-08,6.496256131486e-08,-9.291850187022e-08
4.500000000000e-01,x,-1.053333333333e+00,-3.302967325393e-08,5.153827688850e-08,-8.456795014244e-08
4.500000000000e-01,x,-1.040000000000e+00,-3.804235946097e-08,3.392531035948e-08,-7.196766982045e-08
4.500000000000e-01,x,-1.026666666667e+00,-4.351103642684e-08,1.235178273469e-08,-5.586281916153e-08
4.500000000000e-01,x,-1.013333333333e+00,-5.127866251069e-08,-1.273860039483e-08,-3.854006211585e-08
4.500000000000e-01,x,-1.000000000000e+00,-6.231475444960e-08,-4.069734157806e-08,-2.161741287154e-08
4.500000000000e-01,x,-9.866666666667e-01,-7.402604043990e-08,-7.071310089793e-08,-3.312939541972e-09
4.500000000000e-01,x,-9.733333333333e-01,-8.567235316320e-08,-1.018956121633e-07,1.622325900006e-08
4.500000000000e-01,x,-9.600000000000e-01,-9.981469368262e-08,-1.334236742113e-07,3.360898052864e-08
4.500000000000e-01,x,-9.466666666667e-01,-1.226361439731e-07,-1.648068087175e-07,4.217066474439e-08
4.500000000000e-01,x,-9.333333333333e-01,-1.522018904195e-07,-1.963672507622e-07,4.416536034272e-08
4.500000000000e-01,x,-9.200000000000e-01,-1.786903344195e-07,-2.301554578416e-07,5.146512342210e-08
4.500000000000e-01,x,-9.066666666667e-01,-2.044675335120e-07,-2.716946681053e-07,6.722713459329e-08
4.500000000000e-01,x,-8.933333333333e-01,-2.509765984122e-07,-3.332386927663e-07,8.226209435406e-08
4.500000000000e-01,x,-8.800000000000e-01,-3.621111231534e-07,-4.396508019809e-07,7.753967882749e-08
4.500000000000e-01,x,-8.666666666667e-01,-5.660108751250e-07,-6.385883935959e-07,7.257751847093e-08
4.500000000000e-01,x,-8.533333333333e-01,-9.191395939351e-07,-1.017406656055e-06,9.826706211941e-08
4.500000000000e-01,x,-8.400000000000e-01,-1.576842301816e-06,-1.730048763211e-06,1.532064613957e-07
4.500000000000e-01,x,-8.266666666667e-01,-2.838298408422e-06,-3.038122587570e-06,1.998241791480e-07
4.500000000000e-01,x,-8.133333333333e-01,-5.193056995056e-06,-5.371312555211e-06,1.782555601550e-07
4.500000000000e-01,x,-8.000000000000e-01,-9.351992414552e-06,-9.413164690863e-06,6.117227631155e-08
4.500000000000e-01,x,-7.866666666667e-01,-1.639496694226e-05,-1.621899981144e-05,-1.759671308197e-07
4.500000000000e-01,x,-7.733333333333e-01,-2.793364591668e-05,-2.737303930302e-05,-5.606066136592e-07
4.500000000000e-01,x,-7.600000000000e-01,-4.628752789960e-05,-4.519135749436e-05,-1.096170405242e-06
4.500000000000e-01,x,-7.466666666667e-01,-7.489591666864e-05,-7.297530642160e-05,-1.920610247043e-06
4.500000000000e-01,x,-7.333333333333e-01,-1.188700046404e-04,-1.153155976480e-04,-3.554406992354e-06
4.500000000000e-01,x,-7.200000000000e-01,-1.847205234679e-04,-1.784391122729e-04,-6.281411195035e-06
