t,p_trixi_0_9_0_0_,p_dibem_0_9_0_0_,p_exact_0_9_0_0_,p_trixi_0_0_0_9_,p_dibem_0_0_0_9_,p_exact_0_0_0_9_,p_trixi_0_65_0_65_,p_dibem_0_65_0_65_,p_exact_0_65_0_65_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5.000000000000e-03,-5.684049656592e-44,1.564739694907e-15,4.577548445010e-17,-1.464843563276e-44,1.824715254348e-15,-7.210487834474e-17,-2.859004684692e-51,-2.414419147643e-16,1.041758361915e-16
1.000000000000e-02,-2.760098337180e-25,7.579741899804e-15,7.936079579998e-16,-4.019150946262e-27,9.958546362965e-15,-1.258378781701e-15,-2.667246402635e-39,-1.293690825730e-15,1.799741566324e-15
1.500000000000e-02,-3.644853831902e-21,1.800201504307e-14,4.381936327406e-15,-2.777408128530e-23,2.893516609154e-14,-7.020427788249e-15,-1.475851840366e-30,-3.894651316285e-15,9.878165229652e-15
2.000000000000e-02,-9.395049693301e-20,2.907219028917e-14,1.519617868895e-14,-9.047964281585e-22,6.358293685168e-14,-2.467402530498e-14,-6.854641309544e-28,-8.754385326302e-15,3.396209944455e-14
2.500000000000e-02,-6.554314317809e-19,3.519817125135e-14,4.093119264836e-14,-8.081990226822e-21,1.203527489039e-13,-6.750974767599e-14,-1.561471530412e-26,-1.706866668904e-14,9.042594115281e-14
3.000000000000e-02,-2.652499642593e-18,2.960447388514e-14,9.409342516172e-14,-3.636050392875e-20,2.074642941146e-13,-1.578953872836e-13,-8.597582065759e-26,-3.135045825583e-14,2.048271596929e-13
3.500000000000e-02,-1.092235526422e-17,9.751857650716e-15,1.940276830060e-13,-2.288413720736e-19,3.382556795744e-13,-3.315547894636e-13,-9.642813361536e-25,-5.192185741835e-14,4.147898096405e-13
4.000000000000e-02,-2.692399519585e-17,-2.896209479217e-14,3.698496897987e-13,-9.570465804247e-19,5.257359972265e-13,-6.438616151675e-13,-5.443120889621e-24,-8.442839045050e-14,7.736486298970e-13
4.500000000000e-02,-4.159145267377e-17,-8.368626562025e-14,6.640070750613e-13,-2.994756282437e-18,7.893575277798e-13,-1.177622017810e-12,-1.893506375370e-23,-1.332844770566e-13,1.354002409132e-12
5.000000000000e-02,-3.071483035267e-17,-1.488740251683e-13,1.137201085339e-12,-7.554302737691e-18,1.154238731984e-12,-2.053868894435e-12,-4.534400489771e-23,-2.025188414195e-13,2.251975941405e-12
5.500000000000e-02,4.144969781494e-17,-2.238911421227e-13,1.874653101432e-12,-1.620758511848e-17,1.647992106767e-12,-3.445766760042e-12,-7.987046547240e-23,-3.043460260897e-13,3.591398322438e-12
