t,p_dibem_0_9_0_0_,p_exact_0_9_0_0_,error_0_9_0_0_,p_dibem_0_0_0_9_,p_exact_0_0_0_9_,error_0_0_0_9_,p_dibem_0_65_0_65_,p_exact_0_65_0_65_,error_0_65_0_65_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5.000000000000e-03,1.564739694907e-15,4.577548445010e-17,1.518964210457e-15,1.824715254348e-15,-7.210487834474e-17,1.896820132693e-15,-2.414419147643e-16,1.041758361915e-16,-3.456177509558e-16
1.000000000000e-02,7.579741899804e-15,7.936079579998e-16,6.786133941804e-15,9.958546362965e-15,-1.258378781701e-15,1.121692514467e-14,-1.293690825730e-15,1.799741566324e-15,-3.093432392054e-15
1.500000000000e-02,1.800201504307e-14,4.381936327406e-15,1.362007871567e-14,2.893516609154e-14,-7.020427788249e-15,3.595559387979e-14,-3.894651316285e-15,9.878165229652e-15,-1.377281654594e-14
2.000000000000e-02,2.907219028917e-14,1.519617868895e-14,1.387601160022e-14,6.358293685168e-14,-2.467402530498e-14,8.825696215666e-14,-8.754385326302e-15,3.396209944455e-14,-4.271648477085e-14
2.500000000000e-02,3.519817125135e-14,4.093119264836e-14,-5.733021397010e-15,1.203527489039e-13,-6.750974767599e-14,1.878624965799e-13,-1.706866668904e-14,9.042594115281e-14,-1.074946078418e-13
3.000000000000e-02,2.960447388514e-14,9.409342516172e-14,-6.448895127658e-14,2.074642941146e-13,-1.578953872836e-13,3.653596813982e-13,-3.135045825583e-14,2.048271596929e-13,-2.361776179487e-13
3.500000000000e-02,9.751857650716e-15,1.940276830060e-13,-1.842758253553e-13,3.382556795744e-13,-3.315547894636e-13,6.698104690380e-13,-5.192185741835e-14,4.147898096405e-13,-4.667116670589e-13
4.000000000000e-02,-2.896209479217e-14,3.698496897987e-13,-3.988117845909e-13,5.257359972265e-13,-6.438616151675e-13,1.169597612394e-12,-8.442839045050e-14,7.736486298970e-13,-8.580770203475e-13
4.500000000000e-02,-8.368626562025e-14,6.640070750613e-13,-7.476933406815e-13,7.893575277798e-13,-1.177622017810e-12,1.966979545590e-12,-1.332844770566e-13,1.354002409132e-12,-1.487286886188e-12
