t,ricker,antiderivative
0.000000000000e+00,-9.692515861872e-04,-1.293079655095e-05
1.450000000000e-03,-1.073222618991e-03,-1.441040201554e-05
2.900000000000e-03,-1.187463324904e-03,-1.604810475855e-05
4.350000000000e-03,-1.312886593448e-03,-1.785944943449e-05
5.800000000000e-03,-1.450475378704e-03,-1.986135468270e-05
7.250000000000e-03,-1.601286922615e-03,-2.207221776588e-05
8.700000000000e-03,-1.766457115793e-03,-2.451202543287e-05
1.015000000000e-02,-1.947204987649e-03,-2.720247119952e-05
1.160000000000e-02,-2.144837315883e-03,-3.016707922809e-05
1.305000000000e-02,-2.360753343447e-03,-3.343133496986e-05
1.450000000000e-02,-2.596449589026e-03,-3.702282271694e-05
1.595000000000e-02,-2.853524734869e-03,-4.097137018757e-05
1.740000000000e-02,-3.133684573464e-03,-4.530920024362e-05
1.885000000000e-02,-3.438746992036e-03,-5.007108981107e-05
2.030000000000e-02,-3.770646971237e-03,-5.529453604124e-05
2.175000000000e-02,-4.131441571627e-03,-6.101992971458e-05
2.320000000000e-02,-4.523314878649e-03,-6.729073584863e-05
2.465000000000e-02,-4.948582873806e-03,-7.415368142660e-05
2.610000000000e-02,-5.409698196623e-03,-8.165895011462e-05
2.755000000000e-02,-5.909254758769e-03,-8.986038378137e-05
2.900000000000e-02,-6.449992168397e-03,-9.881569057596e-05
3.045000000000e-02,-7.034799919450e-03,-1.085866592564e-04
3.190000000000e-02,-7.666721297197e-03,-1.192393793926e-04
3.335000000000e-02,-8.348956947895e-03,-1.308444669962e-04
3.480000000000e-02,-9.084868056993e-03,-1.434772950483e-04
3.625000000000e-02,-9.877979076883e-03,-1.572182283178e-04
3.770000000000e-02,-1.073197994186e-02,-1.721528617694e-04
3.915000000000e-02,-1.165072770461e-02,-1.883722617733e-04
4.060000000000e-02,-1.263824752551e-02,-2.059732092266e-04
4.205000000000e-02,-1.369873294281e-02,-2.250584435962e-04
4.350000000000e-02,-1.483654534915e-02,-2.457369067884e-04
4.495000000000e-02,-1.605621259716e-02,-2.681239856362e-04
4.640000000000e-02,-1.736242665453e-02,-2.923417516862e-04
4.785000000000e-02,-1.876004022720e-02,-3.185191968471e-04
4.930000000000e-02,-2.025406226734e-02,-3.467924633430e-04
5.075000000000e-02,-2.184965228183e-02,-3.773050662941e-04
5.220000000000e-02,-2.355211335622e-02,-4.102081071243e-04
5.365000000000e-02,-2.536688380882e-02,-4.456604758695e-04
5.510000000000e-02,-2.729952738992e-02,-4.838290403408e-04
5.655000000000e-02,-2.935572194230e-02,-5.248888199705e-04
5.800000000000e-02,-3.154124644068e-02,-5.690231420508e-04
5.945000000000e-02,-3.386196633018e-02,-6.164237779556e-04
6.090000000000e-02,-3.632381708706e-02,-6.672910568236e-04
6.235000000000e-02,-3.893278592905e-02,-7.218339540708e-04
6.380000000000e-02,-4.169489160724e-02,-7.802701520009e-04
6.525000000000e-02,-4.461616221758e-02,-8.428260696847e-04
6.670000000000e-02,-4.770261097653e-02,-9.097368591965e-04
6.815000000000e-02,-5.096020991323e-02,-9.812463652200e-04
6.960000000000e-02,-5.439486143930e-02,-1.057607044973e-03
7.105000000000e-02,-5.801236776716e-02,-1.139079845353e-03
7.250000000000e-02,-6.181839815861e-02,-1.225934034163e-03
7.395000000000e-02,-6.581845399734e-02,-1.318446982277e-03
7.540000000000e-02,-7.001783169203e-02,-1.416903893583e-03
7.685000000000e-02,-7.442158343077e-02,-1.521597479569e-03
7.830000000000e-02,-7.903447582271e-02,-1.632827575478e-03
7.975000000000e-02,-8.386094647882e-02,-1.750900694978e-03
8.120000000000e-02,-8.890505860102e-02,-1.876129520432e-03
8.265000000000e-02,-9.417045366684e-02,-2.008832325926e-03
8.410000000000e-02,-9.966030231575e-02,-2.149332330366e-03
8.555000000000e-02,-1.053772535632e-01,-2.297956978142e-03
8.700000000000e-02,-1.113233824886e-01,-2.455037145019e-03
8.845000000000e-02,-1.175001365655e-01,-2.620906267175e-03
8.990000000000e-02,-1.239082808216e-01,-2.795899391538e-03
9.135000000000e-02,-1.305478420424e-01,-2.980352145894e-03
9.280000000000e-02,-1.374180522492e-01,-3.174599627527e-03
9.425000000000e-02,-1.445172917096e-01,-3.378975209534e-03
9.570000000000e-02,-1.518430317581e-01,-3.593809264333e-03
9.715000000000e-02,-1.593917777269e-01,-3.819427804304e-03
9.860000000000e-02,-1.671590123098e-01,-4.056151039949e-03
1.000500000000e-01,-1.751391397021e-01,-4.304291856454e-03
1.015000000000e-01,-1.833254308809e-01,-4.564154210034e-03
1.029500000000e-01,-1.917099704074e-01,-4.836031445989e-03
1.044000000000e-01,-2.002836051540e-01,-5.120204540972e-03
1.058500000000e-01,-2.090358953729e-01,-5.416940272559e-03
1.073000000000e-01,-2.179550685386e-01,-5.726489319816e-03
1.087500000000e-01,-2.270279764109e-01,-6.049084299234e-03
1.102000000000e-01,-2.362400557734e-01,-6.384937741000e-03
1.116500000000e-01,-2.455752933142e-01,-6.734240011293e-03
1.131000000000e-01,-2.550161951172e-01,-7.097157186945e-03
1.145500000000e-01,-2.645437612405e-01,-7.473828889484e-03
1.160000000000e-01,-2.741374658524e-01,-7.864366086298e-03
1.174500000000e-01,-2.837752433983e-01,-8.268848867312e-03
1.189000000000e-01,-2.934334812600e-01,-8.687324206251e-03
1.203500000000e-01,-3.030870193614e-01,-9.119803716249e-03
1.218000000000e-01,-3.127091571606e-01,-9.566261410182e-03
1.232500000000e-01,-3.222716684478e-01,-1.002663147676e-02
1.247000000000e-01,-3.317448243502e-01,-1.050080608396e-02
1.261500000000e-01,-3.410974249149e-01,-1.098863322203e-02
1.276000000000e-01,-3.502968396149e-01,-1.148991459865e-02
1.290500000000e-01,-3.593090570856e-01,-1.200440359956e-02
1.305000000000e-01,-3.680987443609e-01,-1.253180332813e-02
