t,axis,s,p_dibem,p_exact,error
4.500000000000e-01,x,-2.000000000000e+00,-9.422877653927e-11,3.191589524705e-07,-3.192531812470e-07
4.500000000000e-01,x,-1.986666666667e+00,1.607787230313e-10,3.157123258635e-07,-3.155515471405e-07
4.500000000000e-01,x,-1.973333333333e+00,1.952954864403e-11,3.076223685434e-07,-3.076028389948e-07
4.500000000000e-01,x,-1.960000000000e+00,-1.719798665909e-10,2.951075825289e-07,-2.952795623955e-07
4.500000000000e-01,x,-1.946666666667e+00,-2.465905949149e-10,2.785175054636e-07,-2.787640960585e-07
4.500000000000e-01,x,-1.933333333333e+00,-1.959279274154e-10,2.583326067875e-07,-2.585285347149e-07
4.500000000000e-01,x,-1.920000000000e+00,-6.438373968450e-11,2.351619912150e-07,-2.352263749547e-07
4.500000000000e-01,x,-1.906666666667e+00,7.514598714265e-11,2.097365743616e-07,-2.096614283745e-07
4.500000000000e-01,x,-1.893333333333e+00,1.504388006552e-10,1.828959652639e-07,-1.827455264633e-07
4.500000000000e-01,x,-1.880000000000e+00,1.514557416058e-10,1.555680696930e-07,-1.554166139514e-07
4.500000000000e-01,x,-1.866666666667e+00,1.003590650987e-10,1.287412261178e-07,-1.286408670527e-07
4.500000000000e-01,x,-1.853333333333e+00,2.580214941483e-11,1.034293748892e-07,-1.034035727397e-07
4.500000000000e-01,x,-1.840000000000e+00,-4.230818905598e-11,8.063130863105e-08,-8.067361682011e-08
4.500000000000e-01,x,-1.826666666667e+00,-8.244803224925e-11,6.128550844483e-08,-6.136795647708e-08
4.500000000000e-01,x,-1.813333333333e+00,-9.189783834231e-11,4.622253207799e-08,-4.631442991633e-08
4.500000000000e-01,x,-1.800000000000e+00,-7.765275008147e-11,3.611746566098e-08,-3.619511841106e-08
4.500000000000e-01,x,-1.786666666667e+00,-5.167197561309e-11,3.144559174244e-08,-3.149726371806e-08
4.500000000000e-01,x,-1.773333333333e+00,-2.947734723752e-11,3.244506645329e-08,-3.247454380052e-08
4.500000000000e-01,x,-1.760000000000e+00,-1.879928976202e-11,3.909084534873e-08,-3.910964463849e-08
4.500000000000e-01,x,-1.746666666667e+00,-1.619067128372e-11,5.108409641854e-08,-5.110028708982e-08
4.500000000000e-01,x,-1.733333333333e+00,-1.645247697288e-11,6.786065532906e-08,-6.787710780603e-08
4.500000000000e-01,x,-1.720000000000e+00,-1.653688723730e-11,8.862057952687e-08,-8.863711641411e-08
4.500000000000e-01,x,-1.706666666667e+00,-1.605497663998e-11,1.123785825142e-07,-1.123946374908e-07
4.500000000000e-01,x,-1.693333333333e+00,-1.272421099323e-11,1.380323243026e-07,-1.380450485136e-07
4.500000000000e-01,x,-1.680000000000e+00,-3.411437271830e-12,1.644426357399e-07,-1.644460471772e-07
4.500000000000e-01,x,-1.666666666667e+00,9.690978877562e-12,1.905173103398e-07,-1.905076193609e-07
4.500000000000e-01,x,-1.653333333333e+00,2.117047708109e-11,2.152886690030e-07,-2.152674985259e-07
4.500000000000e-01,x,-1.640000000000e+00,2.345256877634e-11,2.379751151757e-07,-2.379516626069e-07
4.500000000000e-01,x,-1.626666666667e+00,2.007671218636e-11,2.580185451078e-07,-2.579984683956e-07
4.500000000000e-01,x,-1.613333333333e+00,1.653372821674e-11,2.750926394921e-07,-2.750761057639e-07
4.500000000000e-01,x,-1.600000000000e+00,1.356007886562e-11,2.890813050855e-07,-2.890677450066e-07
4.500000000000e-01,x,-1.586666666667e+00,6.547577362485e-12,3.000311717886e-07,-3.000246242113e-07
4.500000000000e-01,x,-1.573333333333e+00,-9.576487749300e-12,3.080862707876e-07,-3.080958472753e-07
4.500000000000e-01,x,-1.560000000000e+00,-2.376172095356e-11,3.134160371129e-07,-3.134397988339e-07
4.500000000000e-01,x,-1.546666666667e+00,-2.866487351987e-11,3.161490024556e-07,-3.161776673292e-07
4.500000000000e-01,x,-1.533333333333e+00,-2.562378468430e-11,3.163236841697e-07,-3.163493079544e-07
4.500000000000e-01,x,-1.520000000000e+00,-2.534367707103e-11,3.138653304085e-07,-3.138906740856e-07
4.500000000000e-01,x,-1.506666666667e+00,-3.304192246206e-11,3.085928073530e-07,-3.086258492754e-07
4.500000000000e-01,x,-1.493333333333e+00,-3.618430131837e-11,3.002547581136e-07,-3.002909424150e-07
4.500000000000e-01,x,-1.480000000000e+00,-3.194701743007e-11,2.885891192359e-07,-2.886210662533e-07
4.500000000000e-01,x,-1.466666666667e+00,-3.090456672016e-11,2.733960226830e-07,-2.734269272497e-07
4.500000000000e-01,x,-1.453333333333e+00,-5.542485684494e-11,2.546117384552e-07,-2.546671633120e-07
4.500000000000e-01,x,-1.440000000000e+00,-9.730647624931e-11,2.323710106050e-07,-2.324683170813e-07
4.500000000000e-01,x,-1.426666666667e+00,-1.238763585324e-10,2.070469333310e-07,-2.071708096895e-07
4.500000000000e-01,x,-1.413333333333e+00,-1.215378465824e-10,1.792610542410e-07,-1.793825920876e-07
4.500000000000e-01,x,-1.400000000000e+00,-1.022775987015e-10,1.498610440287e-07,-1.499633216274e-07
4.500000000000e-01,x,-1.386666666667e+00,-9.636218300436e-11,1.198682308039e-07,-1.199645929869e-07
4.500000000000e-01,x,-1.373333333333e+00,-9.097211920460e-11,9.040173994547e-08,-9.049271206467e-08
4.500000000000e-01,x,-1.360000000000e+00,-6.937662702108e-11,6.258921301417e-08,-6.265858964119e-08
4.500000000000e-01,x,-1.346666666667e+00,-5.163506243129e-11,3.747564553745e-08,-3.752728059989e-08
4.500000000000e-01,x,-1.333333333333e+00,-9.299663981840e-11,1.594163470405e-08,-1.603463134387e-08
4.500000000000e-01,x,-1.320000000000e+00,-2.390116040735e-10,-1.359580279565e-09,1.120568675492e-09
4.500000000000e-01,x,-1.306666666667e+00,-3.927864241290e-10,-1.404005335285e-08,1.364726692872e-08
4.500000000000e-01,x,-1.293333333333e+00,-4.657604180851e-10,-2.198762312159e-08,2.152186270350e-08
4.500000000000e-01,x,-1.280000000000e+00,-4.398309985873e-10,-2.535038116840e-08,2.491055016981e-08
4.500000000000e-01,x,-1.266666666667e+00,-3.783433000036e-10,-2.449982348117e-08,2.412148018116e-08
4.500000000000e-01,x,-1.253333333333e+00,-3.308560251786e-10,-1.997968723529e-08,1.964883121011e-08
4.500000000000e-01,x,-1.240000000000e+00,-2.393626079820e-10,-1.244854128783e-08,1.220917867985e-08
4.500000000000e-01,x,-1.226666666667e+00,-1.343323888976e-10,-2.624002474558e-09,2.489670085661e-09
4.500000000000e-01,x,-1.213333333333e+00,-1.642249335300e-10,8.764852020744e-09,-8.929076954274e-09
4.500000000000e-01,x,-1.200000000000e+00,-5.738990334333e-10,2.101242145188e-08,-2.158632048531e-08
4.500000000000e-01,x,-1.186666666667e+00,-1.269984060647e-09,3.345696606683e-08,-3.472695012747e-08
4.500000000000e-01,x,-1.173333333333e+00,-1.830651259976e-09,4.548713625259e-08,-4.731778751257e-08
4.500000000000e-01,x,-1.160000000000e+00,-2.035058547217e-09,5.653762211822e-08,-5.857268066544e-08
4.500000000000e-01,x,-1.146666666667e+00,-1.950376800497e-09,6.607855978533e-08,-6.802893658583e-08
4.500000000000e-01,x,-1.133333333333e+00,-1.896731511361e-09,7.360416701934e-08,-7.550089853070e-08
4.500000000000e-01,x,-1.120000000000e+00,-1.781586262478e-09,7.862599188942e-08,-8.040757815190e-08
4.500000000000e-01,x,-1.106666666667e+00,-1.507401920285e-09,8.067515481629e-08,-8.218255673657e-08
4.500000000000e-01,x,-1.093333333333e+00,-1.469946535926e-09,7.931617868014e-08,-8.078612521606e-08
4.500000000000e-01,x,-1.080000000000e+00,-2.579146026892e-09,7.417266907225e-08,-7.675181509914e-08
4.500000000000e-01,x,-1.066666666667e+00,-5.603007569268e-09,6.496256131486e-08,-7.056556888413e-08
4.500000000000e-01,x,-1.053333333333e+00,-8.878741492018e-09,5.153827688850e-08,-6.041701838052e-08
4.500000000000e-01,x,-1.040000000000e+00,-1.083412905789e-08,3.392531035948e-08,-4.475943941737e-08
4.500000000000e-01,x,-1.026666666667e+00,-1.127494609108e-08,1.235178273469e-08,-2.362672882577e-08
4.500000000000e-01,x,-1.013333333333e+00,-1.174985294920e-08,-1.273860039483e-08,9.887474456387e-10
4.500000000000e-01,x,-1.000000000000e+00,-1.321585976690e-08,-4.069734157806e-08,2.748148181116e-08
