t,p_trixi_0_9_0_0_,p_dibem_0_9_0_0_,p_exact_0_9_0_0_,p_trixi_0_0_0_9_,p_dibem_0_0_0_9_,p_exact_0_0_0_9_,p_trixi_0_65_0_65_,p_dibem_0_65_0_65_,p_exact_0_65_0_65_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5.000000000000e-03,-5.684049656592e-44,1.974312304770e-15,4.577548445010e-17,-1.464843563276e-44,1.651566824058e-15,-7.210487834474e-17,-2.859004684692e-51,-2.283676234414e-16,1.041758361915e-16
1.000000000000e-02,-2.760098337180e-25,1.126271750201e-14,7.936079579998e-16,-4.019150946262e-27,8.307091064952e-15,-1.258378781701e-15,-2.667246402635e-39,-1.243411722087e-15,1.799741566324e-15
1.500000000000e-02,-3.644853831902e-21,3.521222412377e-14,4.381936327406e-15,-2.777408128530e-23,2.131780524590e-14,-7.020427788249e-15,-1.475851840366e-30,-3.561882063810e-15,9.878165229652e-15
2.000000000000e-02,-9.395049693301e-20,8.415548113818e-14,1.519617868895e-14,-9.047964281585e-22,3.882355743884e-14,-2.467402530498e-14,-6.854641309544e-28,-7.846510360444e-15,3.396209944455e-14
2.500000000000e-02,-6.554314317809e-19,1.748044450975e-13,4.093119264836e-14,-8.081990226822e-21,5.770124011147e-14,-6.750974767599e-14,-1.561471530412e-26,-1.452674588495e-14,9.042594115281e-14
3.000000000000e-02,-2.652499642593e-18,3.308973105624e-13,9.409342516172e-14,-3.636050392875e-20,7.286824282834e-14,-1.578953872836e-13,-8.597582065759e-26,-2.497316900148e-14,2.048271596929e-13
3.500000000000e-02,-1.092235526422e-17,5.869454543900e-13,1.940276830060e-13,-2.288413720736e-19,7.925307880029e-14,-3.315547894636e-13,-9.642813361536e-25,-4.014181045588e-14,4.147898096405e-13
4.000000000000e-02,-2.692399519585e-17,9.893772699946e-13,3.698496897987e-13,-9.570465804247e-19,7.237229649183e-14,-6.438616151675e-13,-5.443120889621e-24,-6.162621175333e-14,7.736486298970e-13
4.500000000000e-02,-4.159145267377e-17,1.599568528088e-12,6.640070750613e-13,-2.994756282437e-18,4.866835171412e-14,-1.177622017810e-12,-1.893506375370e-23,-9.143122463806e-14,1.354002409132e-12
5.000000000000e-02,-3.071483035267e-17,2.493507005941e-12,1.137201085339e-12,-7.554302737691e-18,3.923140878384e-15,-2.053868894435e-12,-4.534400489771e-23,-1.354748782302e-13,2.251975941405e-12
5.500000000000e-02,4.144969781494e-17,3.779360632441e-12,1.874653101432e-12,-1.620758511848e-17,-5.512807488722e-14,-3.445766760042e-12,-7.987046547240e-23,-1.913162787404e-13,3.591398322438e-12
6.000000000000e-02,2.220713733922e-16,5.582622027367e-12,2.994081312128e-12,-3.100824297973e-17,-1.248326856570e-13,-5.596331531414e-12,-9.886776800089e-23,-2.656694792959e-13,5.527984151723e-12
6.500000000000e-02,5.224038826315e-16,8.056671771385e-12,4.655903515305e-12,-5.491810203500e-17,-2.035125696168e-13,-8.841085242765e-12,2.890909364120e-23,-3.657091773429e-13,8.253527078806e-12
7.000000000000e-02,7.359521350745e-16,1.139804240175e-11,7.076007384589e-12,-8.362658107682e-17,-2.767532453182e-13,-1.363648943545e-11,4.174351429777e-22,-4.948664664734e-13,1.199928605018e-11
7.500000000000e-02,5.736104663083e-16,1.583279884863e-11,1.054144586765e-11,-1.096166230867e-16,-3.434807401977e-13,-2.059486030494e-11,1.049158240511e-21,-6.676720157469e-13,1.703783707405e-11
8.000000000000e-02,-2.564398407291e-16,2.163823979185e-11,1.542991160910e-11,-1.207206259249e-16,-3.890243999408e-13,-3.052738473745e-11,1.656657595189e-21,-8.864797820121e-13,2.368362279989e-11
8.500000000000e-02,-1.943952764766e-15,2.914155045902e-11,2.223367032560e-11,-1.006532772437e-16,-4.152772210428e-13,-4.449673510418e-11,1.693459615799e-21,-1.165518767588e-12,3.229094345848e-11
9.000000000000e-02,-4.458512100353e-15,3.869070728345e-11,3.158814192923e-11,-2.665820615193e-17,-4.362272073503e-13,-6.387961082757e-11,1.890555935532e-22,-1.536329890566e-12,4.324689756609e-11
9.500000000000e-02,-6.708132666524e-15,5.073807634822e-11,4.430566202697e-11,1.400812380230e-16,-4.355518908622e-13,-9.043993610673e-11,-4.368628063289e-21,-1.980654190782e-12,5.695780895762e-11
1.000000000000e-01,-6.805468625037e-15,6.577492878921e-11,6.141584416902e-11,3.888724138305e-16,-4.261439274996e-13,-1.264154831185e-10,-1.050276774894e-20,-2.523816497943e-12,7.382811085963e-11
1.050000000000e-01,-3.094658122323e-15,8.429436760633e-11,8.421289510338e-11,6.986210053178e-16,-4.443891884967e-13,-1.746184785960e-10,-1.472393626081e-20,-3.189884166355e-12,9.422742987046e-11
1.100000000000e-01,5.453533729556e-15,1.068277120255e-10,1.143092310202e-10,1.024561297890e-15,-5.329927138363e-13,-2.385479883244e-10,-1.181686156877e-20,-4.045593526275e-12,1.184411184857e-10
1.150000000000e-01,1.880358559978e-14,1.340869728435e-10,1.536956988713e-10,1.298016370274e-15,-6.903553925683e-13,-3.225137797488e-10,4.071750376767e-21,-5.046324410222e-12,1.466011891784e-10
1.200000000000e-01,3.518617042611e-14,1.666042175900e-10,2.048099150102e-10,1.410928882186e-15,-9.269634341867e-13,-4.317743961356e-10,3.902614979848e-20,-6.230670685559e-12,1.785931240481e-10
1.250000000000e-01,4.703765795722e-14,2.048717148262e-10,2.706116726459e-10,1.155594689198e-15,-1.349683631313e-12,-5.726857832312e-10,8.967787243960e-20,-7.712397546312e-12,2.139311156374e-10
1.300000000000e-01,4.569648010620e-14,2.495686408577e-10,3.546627339053e-10,4.667796456111e-16,-1.806306516384e-12,-7.528522621521e-10,1.282746808300e-19,-9.338267231423e-12,2.515964288690e-10
1.350000000000e-01,2.401821617983e-14,3.010913678169e-10,4.612102569009e-10,-7.015314725733e-16,-2.418182964647e-12,-9.812762302984e-10,1.210333989703e-19,-1.129587005771e-11,2.898347013263e-10
1.400000000000e-01,-2.238418617834e-14,3.596310654936e-10,5.952746715945e-10,-2.330137829627e-15,-3.051162265873e-12,-1.268506210595e-09,3.394048179399e-20,-1.350212136840e-11,3.259043818639e-10
1.450000000000e-01,-9.367379075098e-14,4.251188658338e-10,7.627382913793e-10,-4.323940869090e-15,-3.773985300000e-12,-1.626771014630e-09,-1.576048235314e-19,-1.610786483727e-11,3.557703790410e-10
1.500000000000e-01,-1.837202401053e-13,4.972435571397e-10,9.704287134107e-10,-6.482787375860e-15,-4.484942824221e-12,-2.070082429147e-09,-4.587262591269e-19,-1.910812833773e-11,3.737435470999e-10
1.550000000000e-01,-2.650448541955e-13,5.755299840237e-10,1.226194586323e-09,-8.305397106672e-15,-4.869735683226e-12,-2.614297277616e-09,-7.645856146308e-19,-2.227741231025e-11,3.720656375499e-10
1.600000000000e-01,-3.019755524549e-13,6.583899608217e-10,1.538973538940e-09,-9.320002235578e-15,-5.124157933710e-12,-3.277132771531e-09,-8.672561385836e-19,-2.597691866618e-11,3.404351562502e-10
1.650000000000e-01,-2.614735335020e-13,7.439892089878e-10,1.918845248833e-09,-9.102730312938e-15,-5.173175108928e-12,-4.078112603549e-09,-5.550823203406e-19,-3.021435280482e-11,2.654811517312e-10
1.700000000000e-01,-1.153834206188e-13,8.301917004859e-10,2.377059994519e-09,-7.294725664963e-15,-4.591941800793e-12,-5.038417935708e-09,3.473318819874e-19,-3.464408073372e-11,1.302034094323e-10
1.750000000000e-01,1.544746213240e-13,9.134899605446e-10,2.926037887147e-09,-3.643490412385e-15,-3.451163805055e-12,-6.180629298817e-09,1.923378100865e-18,-3.946344951724e-11,-8.660493699060e-11
1.800000000000e-01,5.554970930121e-13,9.899081151199e-10,3.579347522536e-09,2.063607544601e-15,-1.715428369813e-12,-7.528364235186e-09,4.088261184755e-18,-4.448699277711e-11,-4.109592365187e-10
1.850000000000e-01,1.032454340027e-12,1.054364183604e-09,4.351627345182e-09,9.577618392678e-15,3.277595875675e-13,-9.105743896594e-09,6.013889625945e-18,-5.007150781677e-11,-8.742246338477e-10
1.900000000000e-01,1.456255174217e-12,1.101448237602e-09,5.258482628954e-09,1.774691994288e-14,3.042475972670e-12,-1.093673519003e-08,6.417253712453e-18,-5.564061317988e-11,-1.513636200888e-09
1.950000000000e-01,1.690862560760e-12,1.124552361454e-09,6.316310787782e-09,2.551491671955e-14,5.823762246935e-12,-1.304429627746e-08,4.002341221095e-18,-6.158492861015e-11,-2.372677674073e-09
2.000000000000e-01,1.584758619537e-12,1.116771088647e-09,7.542083939258e-09,3.164136571277e-14,8.344203323822e-12,-1.544936912267e-08,-2.334462253580e-18,-6.786593245829e-11,-3.501340370010e-09
2.050000000000e-01,9.847029577401e-13,1.071124798024e-09,8.953069477533e-09,3.476913159397e-14,1.050389754031e-11,-1.816969662044e-08,-1.322001924042e-17,-7.419340322021e-11,-4.956185481452e-09
2.100000000000e-01,-3.077789471551e-13,9.804992166950e-10,1.056647849518e-08,3.298971685503e-14,1.194568754956e-11,-2.121846893560e-08,-2.851580975635e-17,-8.046318685201e-11,-6.800145094672e-09
2.150000000000e-01,-2.396157012996e-12,8.378914045674e-10,1.239904440838e-08,2.425834535099e-14,1.221497792052e-11,-2.460282569113e-08,-4.419011639797e-17,-8.674679039277e-11,-9.102021492648e-09
2.200000000000e-01,-4.995156118845e-12,6.373442095583e-10,1.446653831407e-08,9.111215620677e-15,1.097679615317e-11,-2.832224727337e-08,-5.338474600882e-17,-9.301649619630e-11,-1.193565540386e-08
2.250000000000e-01,-7.767160953357e-12,3.741928667779e-10,1.678321327260e-08,-1.191579108373e-14,8.047715948247e-12,-3.236686662274e-08,-4.898116911125e-17,-9.924329183207e-11,-1.537870775262e-08
2.300000000000e-01,-1.022446321775e-11,4.592815505649e-11,1.936117086834e-08,-3.746755011379e-14,3.765000608481e-12,-3.671574967429e-08,-2.432070278641e-17,-1.050779617067e-10,-1.951100689803e-08
2.350000000000e-01,-1.174462321427e-11,-3.478356975820e-10,2.220965819632e-08,-6.533094990453e-14,-1.600335616768e-12,-4.133521361571e-08,2.542771569157e-17,-1.105631674513e-10,-2.441245460830e-08
2.400000000000e-01,-1.131779302157e-11,-8.046671570015e-10,2.533432052204e-08,-9.168553945721e-14,-7.661549517461e-12,-4.617725885753e-08,1.026689550272e-16,-1.160780602843e-10,-3.016054150036e-08
2.450000000000e-01,-7.718989175024e-12,-1.318030715744e-09,2.873637090798e-08,-1.096854539507e-13,-1.297040018223e-11,-5.117818274711e-08,1.905438183071e-16,-1.211595273531e-10,-3.682738435105e-08
2.500000000000e-01,-8.531085865622e-13,-1.877903507556e-09,3.241174194452e-08,-1.145489587121e-13,-1.594327722080e-11,-5.625747664272e-08,2.540653540571e-16,-1.256219830752e-10,-4.447646511415e-08
