t,p_dibem_0_9_0_0_,p_exact_0_9_0_0_,error_0_9_0_0_,p_dibem_0_0_0_9_,p_exact_0_0_0_9_,error_0_0_0_9_,p_dibem_0_65_0_65_,p_exact_0_65_0_65_,error_0_65_0_65_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5.000000000000e-03,1.974312304770e-15,4.577548445010e-17,1.928536820319e-15,1.651566824058e-15,-7.210487834474e-17,1.723671702403e-15,-2.283676234414e-16,1.041758361915e-16,-3.325434596329e-16
1.000000000000e-02,1.126271750201e-14,7.936079579998e-16,1.046910954401e-14,8.307091064952e-15,-1.258378781701e-15,9.565469846653e-15,-1.243411722087e-15,1.799741566324e-15,-3.043153288410e-15
1.500000000000e-02,3.521222412377e-14,4.381936327406e-15,3.083028779637e-14,2.131780524590e-14,-7.020427788249e-15,2.833823303415e-14,-3.561882063810e-15,9.878165229652e-15,-1.344004729346e-14
2.000000000000e-02,8.415548113818e-14,1.519617868895e-14,6.895930244923e-14,3.882355743884e-14,-2.467402530498e-14,6.349758274383e-14,-7.846510360444e-15,3.396209944455e-14,-4.180860980499e-14
2.500000000000e-02,1.748044450975e-13,4.093119264836e-14,1.338732524492e-13,5.770124011147e-14,-6.750974767599e-14,1.252109877875e-13,-1.452674588495e-14,9.042594115281e-14,-1.049526870378e-13
3.000000000000e-02,3.308973105624e-13,9.409342516172e-14,2.368038854006e-13,7.286824282834e-14,-1.578953872836e-13,2.307636301120e-13,-2.497316900148e-14,2.048271596929e-13,-2.298003286943e-13
3.500000000000e-02,5.869454543900e-13,1.940276830060e-13,3.929177713839e-13,7.925307880029e-14,-3.315547894636e-13,4.108078682639e-13,-4.014181045588e-14,4.147898096405e-13,-4.549316200964e-13
4.000000000000e-02,9.893772699946e-13,3.698496897987e-13,6.195275801958e-13,7.237229649183e-14,-6.438616151675e-13,7.162339116594e-13,-6.162621175333e-14,7.736486298970e-13,-8.352748416504e-13
4.500000000000e-02,1.599568528088e-12,6.640070750613e-13,9.355614530263e-13,4.866835171412e-14,-1.177622017810e-12,1.226290369524e-12,-9.143122463806e-14,1.354002409132e-12,-1.445433633770e-12
5.000000000000e-02,2.493507005941e-12,1.137201085339e-12,1.356305920603e-12,3.923140878384e-15,-2.053868894435e-12,2.057792035313e-12,-1.354748782302e-13,2.251975941405e-12,-2.387450819635e-12
5.500000000000e-02,3.779360632441e-12,1.874653101432e-12,1.904707531010e-12,-5.512807488722e-14,-3.445766760042e-12,3.390638685155e-12,-1.913162787404e-13,3.591398322438e-12,-3.782714601179e-12
6.000000000000e-02,5.582622027367e-12,2.994081312128e-12,2.588540715239e-12,-1.248326856570e-13,-5.596331531414e-12,5.471498845757e-12,-2.656694792959e-13,5.527984151723e-12,-5.793653631019e-12
6.500000000000e-02,8.056671771385e-12,4.655903515305e-12,3.400768256080e-12,-2.035125696168e-13,-8.841085242765e-12,8.637572673149e-12,-3.657091773429e-13,8.253527078806e-12,-8.619236256149e-12
7.000000000000e-02,1.139804240175e-11,7.076007384589e-12,4.322035017159e-12,-2.767532453182e-13,-1.363648943545e-11,1.335973619014e-11,-4.948664664734e-13,1.199928605018e-11,-1.249415251666e-11
7.500000000000e-02,1.583279884863e-11,1.054144586765e-11,5.291352980985e-12,-3.434807401977e-13,-2.059486030494e-11,2.025137956474e-11,-6.676720157469e-13,1.703783707405e-11,-1.770550908979e-11
8.000000000000e-02,2.163823979185e-11,1.542991160910e-11,6.208328182744e-12,-3.890243999408e-13,-3.052738473745e-11,3.013836033751e-11,-8.864797820121e-13,2.368362279989e-11,-2.457010258190e-11
8.500000000000e-02,2.914155045902e-11,2.223367032560e-11,6.907880133418e-12,-4.152772210428e-13,-4.449673510418e-11,4.408145788314e-11,-1.165518767588e-12,3.229094345848e-11,-3.345646222607e-11
9.000000000000e-02,3.869070728345e-11,3.158814192923e-11,7.102565354218e-12,-4.362272073503e-13,-6.387961082757e-11,6.344338362022e-11,-1.536329890566e-12,4.324689756609e-11,-4.478322745666e-11
9.500000000000e-02,5.073807634822e-11,4.430566202697e-11,6.432414321254e-12,-4.355518908622e-13,-9.043993610673e-11,9.000438421587e-11,-1.980654190782e-12,5.695780895762e-11,-5.893846314840e-11
1.000000000000e-01,6.577492878921e-11,6.141584416902e-11,4.359084620192e-12,-4.261439274996e-13,-1.264154831185e-10,1.259893391910e-10,-2.523816497943e-12,7.382811085963e-11,-7.635192735757e-11
