t,axis,s,p_dibem,p_exact,error
4.500000000000e-01,x,-2.000000000000e+00,-2.156493581890e-11,3.191589524705e-07,-3.191805174063e-07
4.500000000000e-01,x,-1.986666666667e+00,2.383965947886e-10,3.157123258635e-07,-3.154739292687e-07
4.500000000000e-01,x,-1.973333333333e+00,8.972787444892e-11,3.076223685434e-07,-3.075326406690e-07
4.500000000000e-01,x,-1.960000000000e+00,-1.262634142008e-10,2.951075825289e-07,-2.952338459431e-07
4.500000000000e-01,x,-1.946666666667e+00,-2.391945983463e-10,2.785175054636e-07,-2.787567000620e-07
4.500000000000e-01,x,-1.933333333333e+00,-2.313709531789e-10,2.583326067875e-07,-2.585639777407e-07
4.500000000000e-01,x,-1.920000000000e+00,-1.357582368600e-10,2.351619912150e-07,-2.352977494519e-07
4.500000000000e-01,x,-1.906666666667e+00,-1.609188211972e-11,2.097365743616e-07,-2.097526662438e-07
4.500000000000e-01,x,-1.893333333333e+00,6.291123421907e-11,1.828959652639e-07,-1.828330540297e-07
4.500000000000e-01,x,-1.880000000000e+00,8.775254335721e-11,1.555680696930e-07,-1.554803171497e-07
4.500000000000e-01,x,-1.866666666667e+00,7.219908293480e-11,1.287412261178e-07,-1.286690270349e-07
4.500000000000e-01,x,-1.853333333333e+00,3.520263688742e-11,1.034293748892e-07,-1.033941722523e-07
4.500000000000e-01,x,-1.840000000000e+00,-2.880092566934e-12,8.063130863105e-08,-8.063418872362e-08
4.500000000000e-01,x,-1.826666666667e+00,-2.706496584810e-11,6.128550844483e-08,-6.131257341068e-08
4.500000000000e-01,x,-1.813333333333e+00,-3.344293170499e-11,4.622253207799e-08,-4.625597500970e-08
4.500000000000e-01,x,-1.800000000000e+00,-2.517842965964e-11,3.611746566098e-08,-3.614264409064e-08
4.500000000000e-01,x,-1.786666666667e+00,-9.655805451103e-12,3.144559174244e-08,-3.145524754790e-08
4.500000000000e-01,x,-1.773333333333e+00,3.034206249164e-12,3.244506645329e-08,-3.244203224704e-08
4.500000000000e-01,x,-1.760000000000e+00,7.557808885692e-12,3.909084534873e-08,-3.908328753984e-08
4.500000000000e-01,x,-1.746666666667e+00,7.138261466273e-12,5.108409641854e-08,-5.107695815707e-08
4.500000000000e-01,x,-1.733333333333e+00,4.897607630147e-12,6.786065532906e-08,-6.785575772143e-08
4.500000000000e-01,x,-1.720000000000e+00,2.164887770676e-12,8.862057952687e-08,-8.861841463910e-08
4.500000000000e-01,x,-1.706666666667e+00,-2.652114271405e-12,1.123785825142e-07,-1.123812346284e-07
4.500000000000e-01,x,-1.693333333333e+00,-7.375471928704e-12,1.380323243026e-07,-1.380396997745e-07
4.500000000000e-01,x,-1.680000000000e+00,-7.518305258113e-12,1.644426357399e-07,-1.644501540452e-07
4.500000000000e-01,x,-1.666666666667e+00,-3.637764072028e-12,1.905173103398e-07,-1.905209481038e-07
4.500000000000e-01,x,-1.653333333333e+00,2.201055792681e-13,2.152886690030e-07,-2.152884488974e-07
4.500000000000e-01,x,-1.640000000000e+00,-1.450462719921e-12,2.379751151757e-07,-2.379765656384e-07
4.500000000000e-01,x,-1.626666666667e+00,-5.011807833742e-12,2.580185451078e-07,-2.580235569156e-07
4.500000000000e-01,x,-1.613333333333e+00,-5.182172200497e-12,2.750926394921e-07,-2.750978216643e-07
4.500000000000e-01,x,-1.600000000000e+00,-2.088325400262e-12,2.890813050855e-07,-2.890833934109e-07
4.500000000000e-01,x,-1.586666666667e+00,-8.228597964716e-13,3.000311717886e-07,-3.000319946484e-07
4.500000000000e-01,x,-1.573333333333e+00,-7.277517561388e-12,3.080862707876e-07,-3.080935483051e-07
4.500000000000e-01,x,-1.560000000000e+00,-1.269294271575e-11,3.134160371129e-07,-3.134287300557e-07
4.500000000000e-01,x,-1.546666666667e+00,-1.097034744364e-11,3.161490024556e-07,-3.161599728031e-07
4.500000000000e-01,x,-1.533333333333e+00,-4.761823941085e-12,3.163236841697e-07,-3.163284459937e-07
4.500000000000e-01,x,-1.520000000000e+00,-5.166385084395e-12,3.138653304085e-07,-3.138704967936e-07
4.500000000000e-01,x,-1.506666666667e+00,-1.630426259014e-11,3.085928073530e-07,-3.086091116156e-07
4.500000000000e-01,x,-1.493333333333e+00,-2.231633309048e-11,3.002547581136e-07,-3.002770744467e-07
4.500000000000e-01,x,-1.480000000000e+00,-1.721041999541e-11,2.885891192359e-07,-2.886063296559e-07
4.500000000000e-01,x,-1.466666666667e+00,-7.647911976528e-12,2.733960226830e-07,-2.734036705950e-07
