t,p_dibem_0_9_0_0_,p_exact_0_9_0_0_,error_0_9_0_0_,p_dibem_0_0_0_9_,p_exact_0_0_0_9_,error_0_0_0_9_,p_dibem_0_65_0_65_,p_exact_0_65_0_65_,error_0_65_0_65_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5.000000000000e-03,1.789955490993e-15,4.577548445010e-17,1.744180006542e-15,1.752295942608e-15,-7.210487834474e-17,1.824400820953e-15,-2.332071347625e-16,1.041758361915e-16,-3.373829709540e-16
1.000000000000e-02,9.582162922683e-15,7.936079579998e-16,8.788554964684e-15,9.251622770726e-15,-1.258378781701e-15,1.051000155243e-14,-1.256291491099e-15,1.799741566324e-15,-3.056033057422e-15
1.500000000000e-02,2.720910021933e-14,4.381936327406e-15,2.282716389192e-14,2.569835742209e-14,-7.020427788249e-15,3.271878521033e-14,-3.611220432848e-15,9.878165229652e-15,-1.348938566250e-14
2.000000000000e-02,5.784607380907e-14,1.519617868895e-14,4.264989512011e-14,5.302956525377e-14,-2.467402530498e-14,7.770359055875e-14,-7.726388745868e-15,3.396209944455e-14,-4.168848819042e-14
2.500000000000e-02,1.051555100861e-13,4.093119264836e-14,6.422431743777e-14,9.295544184750e-14,-6.750974767599e-14,1.604651895235e-13,-1.450796091928e-14,9.042594115281e-14,-1.049339020721e-13
3.000000000000e-02,1.736452118981e-13,9.409342516172e-14,7.955178673641e-14,1.474158259083e-13,-1.578953872836e-13,3.053112131919e-13,-2.491257519410e-14,2.048271596929e-13,-2.297397348869e-13
3.500000000000e-02,2.699449041746e-13,1.940276830060e-13,7.591722116858e-14,2.193243868950e-13,-3.315547894636e-13,5.508791763587e-13,-3.960014185395e-14,4.147898096405e-13,-4.543899514945e-13
4.000000000000e-02,3.999563269438e-13,3.698496897987e-13,3.010663714513e-14,3.103557826214e-13,-6.438616151675e-13,9.542173977890e-13,-6.179938690189e-14,7.736486298970e-13,-8.354480167989e-13
4.500000000000e-02,5.745376537005e-13,6.640070750613e-13,-8.946942136082e-14,4.256461558726e-13,-1.177622017810e-12,1.603268173682e-12,-9.153895674205e-14,1.354002409132e-12,-1.445541365874e-12
