t,x,p_dibem,p_exact,error
8.000000000000e-01,-1.499000000000e+00,-1.222976483660e-07,-3.934992979457e-12,-1.222937133730e-07
8.000000000000e-01,-1.374083333333e+00,1.382861832488e-07,-3.935534150015e-12,1.382901187829e-07
8.000000000000e-01,-1.249166666667e+00,8.960973346112e-07,-3.936031212543e-12,8.961012706424e-07
8.000000000000e-01,-1.124250000000e+00,-6.634777443209e-06,-3.936515669029e-12,-6.634773506693e-06
8.000000000000e-01,-9.993333333333e-01,2.166265980911e-05,-6.674702851995e-11,2.166272655614e-05
8.000000000000e-01,-8.744166666667e-01,2.149369490540e-04,-1.103730083813e-06,2.160406791378e-04
8.000000000000e-01,-7.495000000000e-01,-2.167774988522e-03,-6.311174441283e-04,-1.536657544394e-03
8.000000000000e-01,-6.245833333333e-01,-9.502251696357e-03,-1.347541187941e-02,3.973160183058e-03
8.000000000000e-01,-4.996666666667e-01,6.159396612658e-03,2.008946872059e-02,-1.393007210794e-02
8.000000000000e-01,-3.747500000000e-01,2.423903919413e-02,1.313353301781e-03,2.292568589235e-02
8.000000000000e-01,-2.498333333333e-01,-2.322298465690e-02,-4.631182652298e-03,-1.859180200460e-02
8.000000000000e-01,-1.249166666667e-01,3.860711457786e-02,-1.719132527564e-03,4.032624710543e-02
8.000000000000e-01,0.000000000000e+00,-4.216402080541e-02,-1.325813449681e-03,-4.083820735573e-02
8.000000000000e-01,1.249166666667e-01,3.860709698481e-02,-1.719132527564e-03,4.032622951237e-02
8.000000000000e-01,2.498333333333e-01,-2.322303386802e-02,-4.631182652298e-03,-1.859185121572e-02
8.000000000000e-01,3.747500000000e-01,2.423907681904e-02,1.313353301781e-03,2.292572351726e-02
8.000000000000e-01,4.996666666667e-01,6.159471306794e-03,2.008946872059e-02,-1.392999741380e-02
8.000000000000e-01,6.245833333333e-01,-9.502338843316e-03,-1.347541187941e-02,3.973073036099e-03
8.000000000000e-01,7.495000000000e-01,-2.167754789828e-03,-6.311174441283e-04,-1.536637345700e-03
8.000000000000e-01,8.744166666667e-01,2.149312396273e-04,-1.103730083813e-06,2.160349697111e-04
8.000000000000e-01,9.993333333333e-01,2.169834505429e-05,-6.674702851995e-11,2.169841180132e-05
8.000000000000e-01,1.124250000000e+00,-6.619334112806e-06,-3.936515669029e-12,-6.619330176290e-06
8.000000000000e-01,1.249166666667e+00,8.338684213640e-07,-3.936031212543e-12,8.338723573952e-07
8.000000000000e-01,1.374083333333e+00,1.156989662943e-07,-3.935534150015e-12,1.157029018285e-07
8.000000000000e-01,1.499000000000e+00,3.121009649939e-08,-3.934992979457e-12,3.121403149237e-08
1.600000000000e+00,-1.499000000000e+00,-6.912599489960e-03,-2.303416992361e-03,-4.609182497599e-03
