t,p_trixi_0_4_0_0_,p_dibem_0_4_0_0_,p_exact_0_4_0_0_,p_trixi_0_7_0_0_,p_dibem_0_7_0_0_,p_exact_0_7_0_0_,p_trixi_0_5_0_5_,p_dibem_0_5_0_5_,p_exact_0_5_0_5_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-02,-1.939299757473e-16,9.679880631538e-11,6.832070124536e-14,-3.773458235785e-26,1.657469630485e-10,6.832370841438e-14,-1.890006300531e-36,1.820822460919e-10,6.832327170330e-14
2.000000000000e-02,-6.983327956840e-15,1.445510388020e-09,3.866328039057e-13,-1.041169441871e-21,1.143320919360e-09,3.866499746330e-13,-2.955904690355e-28,8.795370711153e-10,3.866475032265e-13
3.000000000000e-02,-4.740964941101e-14,3.898287609800e-09,1.272826055107e-12,-3.666126228080e-20,3.133937199925e-09,1.272883586843e-12,-3.679594886695e-26,3.480431822317e-09,1.272875450704e-12
4.000000000000e-02,-1.742325103767e-13,9.767874113851e-09,3.412820280209e-12,-4.079980632438e-19,7.572383429200e-09,3.412979484899e-12,-8.450568202706e-25,9.370351152518e-09,3.412957669443e-12
5.000000000000e-02,-4.150421009883e-13,2.297278394904e-08,8.214515829816e-12,-1.804221724100e-18,1.919775987749e-08,8.214920482538e-12,-6.534486253827e-24,2.226886634479e-08,8.214867973659e-12
6.000000000000e-02,-7.735509428526e-13,5.162204818586e-08,1.847821256245e-11,-2.971899946986e-18,4.572383018046e-08,1.847920894432e-11,-1.573494116018e-23,4.792155579506e-08,1.847909082637e-11
7.000000000000e-02,-1.355105740150e-12,1.070134410194e-07,3.956293640738e-11,2.048111449076e-18,1.012342811565e-07,3.956539684754e-11,1.911260710071e-24,9.801101659825e-08,3.956514394900e-11
8.000000000000e-02,-2.658999976392e-12,2.099788764355e-07,8.133691822745e-11,1.955158801510e-17,2.112285576213e-07,8.134316403356e-11,5.331777892447e-23,1.994940535678e-07,8.134264409281e-11
9.000000000000e-02,-5.602129939591e-12,4.146867243374e-07,1.612690796773e-10,2.933983362894e-17,4.048283254298e-07,1.612856038679e-10,-1.048356253455e-22,3.945319426188e-07,1.612845729449e-10
1.000000000000e-01,-1.162701540288e-11,7.864086849409e-07,3.090537542752e-10,-1.332055171127e-17,7.669210242486e-07,3.090993285479e-10,-6.648313259315e-22,7.568661186116e-07,3.090973528035e-10
1.100000000000e-01,-2.352483161250e-11,1.446200457133e-06,5.730901767723e-10,-1.415456468786e-16,1.408150687968e-06,5.732197608897e-10,-6.507539136176e-22,1.402149531326e-06,5.732160968995e-10
1.200000000000e-01,-4.486953593994e-11,2.566647807999e-06,1.028878579035e-09,-2.483754377154e-16,2.519882733656e-06,1.029252333702e-09,1.720106754957e-21,2.519527280675e-06,1.029245754777e-09
1.300000000000e-01,-8.115986026021e-11,4.419712245407e-06,1.788854063102e-09,-1.259063110838e-16,4.378746622473e-06,1.789930985834e-09,4.137283142961e-21,4.377677878410e-06,1.789919544696e-09
1.400000000000e-01,-1.432804605785e-10,7.376773020302e-06,3.012285549962e-09,3.827729142903e-16,7.365753237099e-06,3.015349756761e-09,-2.339579401249e-21,7.365377594015e-06,3.015330482868e-09
1.500000000000e-01,-2.536190258435e-10,1.195440384460e-05,4.912601297011e-09,9.928009342013e-16,1.200214328255e-05,4.921145415826e-09,-2.243095616552e-20,1.200316370054e-05,4.921113960112e-09
1.600000000000e-01,-4.459878144713e-10,1.879755756616e-05,7.757916101050e-09,8.921768911510e-16,1.894878522544e-05,7.781156603162e-09,-3.271033054251e-20,1.894717108341e-05,7.781106866383e-09
1.700000000000e-01,-7.808438180772e-10,2.868371571683e-05,1.185870579418e-08,-7.647105234513e-16,2.897778858057e-05,1.192021963253e-08,2.130797265904e-21,2.897223437813e-05,1.192014343920e-08
1.800000000000e-01,-1.407969220120e-09,4.245527112678e-05,1.753443826773e-08,-4.257771370314e-15,4.293572972370e-05,1.769268887817e-08,7.107756811965e-20,4.292719152981e-05,1.769257578737e-08
1.900000000000e-01,-2.531892432969e-09,6.095446407078e-05,2.504796070468e-08,-7.735887977718e-15,6.163959770785e-05,2.544352203698e-08,3.115376823121e-20,6.162927201465e-05,2.544335940350e-08
2.000000000000e-01,-4.506397708179e-09,8.489816354674e-05,3.449087096521e-08,-8.346323279249e-15,8.574591491149e-05,3.545169599225e-08,-2.648681322970e-19,8.573488540267e-05,3.545146938680e-08
2.100000000000e-01,-8.047514631941e-09,1.147365099561e-04,4.559123509933e-08,-3.003565456091e-15,1.155842601600e-04,4.786023099238e-08,-7.652337855916e-19,1.155738208942e-04,4.785992507182e-08
