t,ricker,antiderivative
0.000000000000e+00,-1.844356558571e-05,-2.017567361216e-07
6.000000000000e-04,-1.944047675906e-05,-2.131194410846e-07
1.200000000000e-03,-2.048876018323e-05,-2.250955819509e-07
1.800000000000e-03,-2.159092110478e-05,-2.377167280412e-07
2.400000000000e-03,-2.274957919989e-05,-2.510159859165e-07
3.000000000000e-03,-2.396747339491e-05,-2.650280694729e-07
3.600000000000e-03,-2.524746686952e-05,-2.797893729835e-07
4.200000000000e-03,-2.659255224838e-05,-2.953380471984e-07
4.800000000000e-03,-2.800585698740e-05,-3.117140786176e-07
5.400000000000e-03,-2.949064896080e-05,-3.289593720556e-07
6.000000000000e-03,-3.105034225538e-05,-3.471178366202e-07
6.600000000000e-03,-3.268850317836e-05,-3.662354752316e-07
7.200000000000e-03,-3.440885648567e-05,-3.863604778119e-07
7.800000000000e-03,-3.621529183734e-05,-4.075433182795e-07
8.400000000000e-03,-3.811187048699e-05,-4.298368554863e-07
9.000000000000e-03,-4.010283221255e-05,-4.532964382412e-07
9.600000000000e-03,-4.219260249552e-05,-4.779800145655e-07
1.020000000000e-02,-4.438579995603e-05,-5.039482453327e-07
1.080000000000e-02,-4.668724405150e-05,-5.312646224479e-07
1.140000000000e-02,-4.910196304644e-05,-5.599955917276e-07
1.200000000000e-02,-5.163520226130e-05,-5.902106806439e-07
1.260000000000e-02,-5.429243260851e-05,-6.219826311050e-07
1.320000000000e-02,-5.707935942369e-05,-6.553875374442e-07
1.380000000000e-02,-6.000193160054e-05,-6.905049897993e-07
1.440000000000e-02,-6.306635103777e-05,-7.274182230654e-07
1.500000000000e-02,-6.627908240674e-05,-7.662142716121e-07
1.560000000000e-02,-6.964686324851e-05,-8.069841299596e-07
1.620000000000e-02,-7.317671440930e-05,-8.498229196138e-07
1.680000000000e-02,-7.687595082332e-05,-8.948300622669e-07
1.740000000000e-02,-8.075219265217e-05,-9.421094595735e-07
1.800000000000e-02,-8.481337679018e-05,-9.917696797209e-07
1.860000000000e-02,-8.906776874503e-05,-1.043924151013e-06
1.920000000000e-02,-9.352397490330e-05,-1.098691362699e-06
1.980000000000e-02,-9.819095519062e-05,-1.156195073279e-06
2.040000000000e-02,-1.030780361363e-04,-1.216564526526e-06
2.100000000000e-02,-1.081949243519e-04,-1.279934675470e-06
2.160000000000e-02,-1.135517204351e-04,-1.346446414600e-06
2.220000000000e-02,-1.191589333068e-04,-1.416246820530e-06
2.280000000000e-02,-1.250274949935e-04,-1.489489401409e-06
2.340000000000e-02,-1.311687758656e-04,-1.566334355332e-06
2.400000000000e-02,-1.375946003391e-04,-1.646948838034e-06
2.460000000000e-02,-1.443172630551e-04,-1.731507240142e-06
2.520000000000e-02,-1.513495455447e-04,-1.820191474295e-06
2.580000000000e-02,-1.587047333909e-04,-1.913191272390e-06
2.640000000000e-02,-1.663966338986e-04,-2.010704493297e-06
2.700000000000e-02,-1.744395942825e-04,-2.112937441319e-06
2.760000000000e-02,-1.828485203839e-04,-2.220105195727e-06
2.820000000000e-02,-1.916388959275e-04,-2.332431951684e-06
2.880000000000e-02,-2.008268023285e-04,-2.450151372892e-06
2.940000000000e-02,-2.104289390604e-04,-2.573506956285e-06
3.000000000000e-02,-2.204626445953e-04,-2.702752409122e-06
3.060000000000e-02,-2.309459179258e-04,-2.838152038808e-06
3.120000000000e-02,-2.418974406804e-04,-2.979981155816e-06
3.180000000000e-02,-2.533365998428e-04,-3.128526490049e-06
3.240000000000e-02,-2.652835110838e-04,-3.284086621026e-06
3.300000000000e-02,-2.777590427191e-04,-3.446972422247e-06
3.360000000000e-02,-2.907848403009e-04,-3.617507520129e-06
3.420000000000e-02,-3.043833518539e-04,-3.796028767881e-06
3.480000000000e-02,-3.185778537666e-04,-3.982886734726e-06
3.540000000000e-02,-3.333924773464e-04,-4.178446210854e-06
3.600000000000e-02,-3.488522360489e-04,-4.383086728500e-06
3.660000000000e-02,-3.649830533908e-04,-4.597203099583e-06
3.720000000000e-02,-3.818117915548e-04,-4.821205970281e-06
3.780000000000e-02,-3.993662806962e-04,-5.055522392992e-06
3.840000000000e-02,-4.176753489595e-04,-5.300596416083e-06
3.900000000000e-02,-4.367688532130e-04,-5.556889691874e-06
3.960000000000e-02,-4.566777105102e-04,-5.824882103266e-06
4.020000000000e-02,-4.774339302846e-04,-6.105072409480e-06
4.080000000000e-02,-4.990706472855e-04,-6.397978911326e-06
4.140000000000e-02,-5.216221552627e-04,-6.704140136462e-06
4.200000000000e-02,-5.451239414040e-04,-7.024115545084e-06
4.260000000000e-02,-5.696127215345e-04,-7.358486256515e-06
4.320000000000e-02,-5.951264760801e-04,-7.707855797134e-06
