t,p_dibem_0_4_0_0_,p_exact_0_4_0_0_,error_0_4_0_0_,p_dibem_0_7_0_0_,p_exact_0_7_0_0_,error_0_7_0_0_,p_dibem_0_5_0_5_,p_exact_0_5_0_5_,error_0_5_0_5_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-02,4.010129892676e-12,6.832089633106e-14,3.941808996345e-12,-3.544600167258e-13,6.832229678707e-14,-4.227823135128e-13,-2.414283608293e-14,6.832341624699e-14,-9.246625232993e-14
2.000000000000e-02,4.100773199305e-11,3.866340571117e-13,4.062109793594e-11,-3.613208464505e-12,3.866419861807e-13,-3.999850450685e-12,-2.472754844138e-13,3.866483213337e-13,-6.339238057474e-13
3.000000000000e-02,2.189601148679e-10,1.272831159384e-12,2.176872837085e-10,-1.921351012606e-11,1.272857288384e-12,-2.048636741445e-11,-1.322958108300e-12,1.272878144257e-12,-2.595836252557e-12
4.000000000000e-02,8.325241219369e-10,3.412838775072e-12,8.291112831619e-10,-7.269093586970e-11,3.412908970947e-12,-7.610384484065e-11,-5.041895553585e-12,3.412964891870e-12,-8.454860445455e-12
5.000000000000e-02,2.573713884728e-09,8.214581155342e-12,2.565499303573e-09,-2.234600789707e-10,8.214750758357e-12,-2.316748297290e-10,-1.562665371481e-11,8.214885357887e-12,-2.384153907269e-11
6.000000000000e-02,6.947460663875e-09,1.847844281600e-11,6.928982221059e-09,-5.995785245462e-10,1.847882715427e-11,-6.180573517005e-10,-4.229304821425e-11,1.847912993226e-11,-6.077217814651e-11
7.000000000000e-02,1.706996641951e-08,3.956374477809e-11,1.703040267473e-08,-1.464047178072e-09,3.956457940724e-11,-1.503611757479e-09,-1.041809233137e-10,3.956522767751e-11,-1.437461509912e-10
8.000000000000e-02,3.914628413912e-08,8.133972090721e-11,3.906494441821e-08,-3.336603080644e-09,8.134148344313e-11,-3.417944564087e-09,-2.394976315124e-10,8.134281623518e-11,-3.208404477475e-10
9.000000000000e-02,8.509952596280e-08,1.612785990360e-10,8.493824736376e-08,-7.208614088776e-09,1.612822716332e-10,-7.369896360409e-09,-5.218227012931e-10,1.612849142642e-10,-6.831076155574e-10
