t,x,p_dibem,p_exact,error
8.000000000000e-01,-1.434782608696e+00,5.134559263783e-08,-3.935282169396e-12,5.134952792000e-08
8.000000000000e-01,-1.304347826087e+00,6.189027656949e-07,-3.935811073166e-12,6.189067015059e-07
8.000000000000e-01,-1.173913043478e+00,-3.486600000794e-06,-3.936314043489e-12,-3.486596064480e-06
8.000000000000e-01,-1.043478260870e+00,-3.140495875544e-06,-4.626423613999e-12,-3.140491249121e-06
8.000000000000e-01,-9.130434782609e-01,2.120541963543e-04,-8.124190686877e-08,2.121354382612e-04
8.000000000000e-01,-7.826086956522e-01,-1.043829764232e-03,-1.585151789980e-04,-8.853145852335e-04
8.000000000000e-01,-6.521739130435e-01,-8.477801438768e-03,-9.535892734797e-03,1.058091296029e-03
8.000000000000e-01,-5.217391304348e-01,3.565836671387e-04,1.007633095308e-02,-9.719747285939e-03
8.000000000000e-01,-3.913043478261e-01,2.682554107179e-02,6.807969309682e-03,2.001757176211e-02
8.000000000000e-01,-2.608695652174e-01,-2.202338860080e-02,-5.167813063027e-03,-1.685557553778e-02
8.000000000000e-01,-1.304347826087e-01,3.524590802662e-02,-1.763520277535e-03,3.700942830416e-02
8.000000000000e-01,-6.938893903907e-17,-1.363078173779e-02,-1.325813449681e-03,-1.230496828810e-02
8.000000000000e-01,1.304347826087e-01,3.524590440329e-02,-1.763520277535e-03,3.700942468083e-02
8.000000000000e-01,2.608695652174e-01,-2.202339000899e-02,-5.167813063027e-03,-1.685557694596e-02
8.000000000000e-01,3.913043478261e-01,2.682553605459e-02,6.807969309682e-03,2.001756674490e-02
8.000000000000e-01,5.217391304348e-01,3.565721557392e-04,1.007633095308e-02,-9.719758797339e-03
8.000000000000e-01,6.521739130435e-01,-8.477809525865e-03,-9.535892734797e-03,1.058083208931e-03
8.000000000000e-01,7.826086956522e-01,-1.043825113608e-03,-1.585151789980e-04,-8.853099346097e-04
8.000000000000e-01,9.130434782609e-01,2.120579141589e-04,-8.124190686877e-08,2.121391560658e-04
8.000000000000e-01,1.043478260870e+00,-3.143965269740e-06,-4.626423613999e-12,-3.143960643317e-06
8.000000000000e-01,1.173913043478e+00,-3.485666005277e-06,-3.936313580806e-12,-3.485662068964e-06
8.000000000000e-01,1.304347826087e+00,6.274271818280e-07,-3.935811073166e-12,6.274311176391e-07
8.000000000000e-01,1.434782608696e+00,5.804517226468e-08,-3.935282169396e-12,5.804910754685e-08
1.600000000000e+00,-1.434782608696e+00,-6.092165606435e-03,-8.139911928574e-03,2.047746322138e-03
1.600000000000e+00,-1.304347826087e+00,1.330901040148e-03,1.119940281832e-02,-9.868501778169e-03
1.600000000000e+00,-1.173913043478e+00,1.212608409144e-02,7.659686067162e-04,1.136011548472e-02
1.600000000000e+00,-1.043478260870e+00,-2.671073043677e-03,-1.994556460109e-03,-6.765165835681e-04
1.600000000000e+00,-9.130434782609e-01,-9.391343587981e-03,-5.384352872915e-04,-8.852908300689e-03
1.600000000000e+00,-7.826086956522e-01,1.025169631937e-02,-2.598412237083e-04,1.051153754308e-02
1.600000000000e+00,-6.521739130435e-01,-8.724373903057e-03,-1.596803795614e-04,-8.564693523496e-03
1.600000000000e+00,-5.217391304348e-01,5.878367460888e-03,-1.129819808802e-04,5.991349441768e-03
1.600000000000e+00,-3.913043478261e-01,7.404454583998e-03,-8.839628674243e-05,7.492850870740e-03
1.600000000000e+00,-2.608695652174e-01,-2.398186110221e-02,-7.494507651469e-05,-2.390691602569e-02
1.600000000000e+00,-1.304347826087e-01,4.739884124868e-04,-6.811862467871e-05,5.421070371655e-04
1.600000000000e+00,-6.938893903907e-17,-1.248111164849e-02,-6.602009162250e-05,-1.241509155687e-02
1.600000000000e+00,1.304347826087e-01,4.739923370484e-04,-6.811862467871e-05,5.421109617271e-04
1.600000000000e+00,2.608695652174e-01,-2.398185155115e-02,-7.494507651469e-05,-2.390690647464e-02
1.600000000000e+00,3.913043478261e-01,7.404469521289e-03,-8.839628674243e-05,7.492865808031e-03
1.600000000000e+00,5.217391304348e-01,5.878378842181e-03,-1.129819808802e-04,5.991360823061e-03
1.600000000000e+00,6.521739130435e-01,-8.724365648293e-03,-1.596803795614e-04,-8.564685268731e-03
1.600000000000e+00,7.826086956522e-01,1.025169692833e-02,-2.598412237083e-04,1.051153815204e-02
1.600000000000e+00,9.130434782609e-01,-9.391353033298e-03,-5.384352872915e-04,-8.852917746006e-03
1.600000000000e+00,1.043478260870e+00,-2.671082828400e-03,-1.994556460109e-03,-6.765263682905e-04
1.600000000000e+00,1.173913043478e+00,1.212607358135e-02,7.659686067163e-04,1.136010497463e-02
1.600000000000e+00,1.304347826087e+00,1.330887195152e-03,1.119940281832e-02,-9.868515623166e-03
1.600000000000e+00,1.434782608696e+00,-6.092176359360e-03,-8.139911928574e-03,2.047735569213e-03
2.200000000000e+00,-1.434782608696e+00,-8.999435143090e-03,-2.498769129998e-04,-8.749558230091e-03
2.200000000000e+00,-1.304347826087e+00,1.321305584069e-02,-1.355212474268e-04,1.334857708812e-02
2.200000000000e+00,-1.173913043478e+00,-2.026261038583e-03,-8.610766129331e-05,-1.940153377289e-03
2.200000000000e+00,-1.043478260870e+00,1.826871213970e-03,-6.049937863587e-05,1.887370592606e-03
2.200000000000e+00,-9.130434782609e-01,-1.771072923820e-03,-4.568395852338e-05,-1.725388965297e-03
2.200000000000e+00,-7.826086956522e-01,-5.293756568705e-03,-3.647592456423e-05,-5.257280644140e-03
2.200000000000e+00,-6.521739130435e-01,2.163646308107e-03,-3.048558772782e-05,2.194131895835e-03
2.200000000000e+00,-5.217391304348e-01,2.377969362111e-03,-2.649611320125e-05,2.404465475312e-03
2.200000000000e+00,-3.913043478261e-01,1.360737086579e-02,-2.384405091929e-05,1.363121491671e-02
2.200000000000e+00,-2.608695652174e-01,-2.025894479291e-02,-2.215330876361e-05,-2.023679148415e-02
2.200000000000e+00,-1.304347826087e-01,8.722784238284e-03,-2.121121554765e-05,8.743995453832e-03
2.200000000000e+00,-6.938893903907e-17,-2.149182257585e-02,-2.090843333109e-05,-2.147091414252e-02
2.200000000000e+00,1.304347826087e-01,8.722789008392e-03,-2.121121554765e-05,8.744000223940e-03
2.200000000000e+00,2.608695652174e-01,-2.025894154720e-02,-2.215330876361e-05,-2.023678823844e-02
2.200000000000e+00,3.913043478261e-01,1.360737937994e-02,-2.384405091929e-05,1.363122343086e-02
2.200000000000e+00,5.217391304348e-01,2.377980583565e-03,-2.649611320125e-05,2.404476696767e-03
2.200000000000e+00,6.521739130435e-01,2.163652449889e-03,-3.048558772782e-05,2.194138037617e-03
2.200000000000e+00,7.826086956522e-01,-5.293758936827e-03,-3.647592456423e-05,-5.257283012262e-03
2.200000000000e+00,9.130434782609e-01,-1.771078783714e-03,-4.568395852338e-05,-1.725394825191e-03
2.200000000000e+00,1.043478260870e+00,1.826865901294e-03,-6.049937863587e-05,1.887365279930e-03
2.200000000000e+00,1.173913043478e+00,-2.026266677010e-03,-8.610766129331e-05,-1.940159015717e-03
2.200000000000e+00,1.304347826087e+00,1.321304672900e-02,-1.355212474268e-04,1.334856797642e-02
2.200000000000e+00,1.434782608696e+00,-8.999444536522e-03,-2.498769129998e-04,-8.749567623523e-03
3.300000000000e+00,-1.434782608696e+00,-4.020415413701e-03,-1.133095032438e-05,-4.009084463377e-03
3.300000000000e+00,-1.304347826087e+00,4.152914708642e-03,-9.801274982989e-06,4.162715983625e-03
3.300000000000e+00,-1.173913043478e+00,-1.176710348657e-02,-8.639765626560e-06,-1.175846372094e-02
3.300000000000e+00,-1.043478260870e+00,2.369252258833e-03,-7.746354660728e-06,2.376998613494e-03
3.300000000000e+00,-9.130434782609e-01,-7.244971382949e-03,-7.053903361678e-06,-7.237917479587e-03
3.300000000000e+00,-7.826086956522e-01,3.526985219185e-03,-6.516306955387e-06,3.533501526141e-03
3.300000000000e+00,-6.521739130435e-01,-6.311983875316e-03,-6.101371213918e-06,-6.305882504102e-03
3.300000000000e+00,-5.217391304348e-01,-8.314008356527e-03,-5.786413797221e-06,-8.308221942730e-03
3.300000000000e+00,-3.913043478261e-01,-7.119704747892e-03,-5.555484861960e-06,-7.114149263030e-03
3.300000000000e+00,-2.608695652174e-01,-4.949447342773e-03,-5.397588017766e-06,-4.944049754755e-03
3.300000000000e+00,-1.304347826087e-01,8.339410057192e-03,-5.305545766299e-06,8.344715602958e-03
3.300000000000e+00,-6.938893903907e-17,-4.148446758946e-03,-5.275302351308e-06,-4.143171456595e-03
3.300000000000e+00,1.304347826087e-01,8.339421927242e-03,-5.305545766299e-06,8.344727473008e-03
3.300000000000e+00,2.608695652174e-01,-4.949431114484e-03,-5.397588017767e-06,-4.944033526467e-03
3.300000000000e+00,3.913043478261e-01,-7.119682658835e-03,-5.555484861960e-06,-7.114127173973e-03
3.300000000000e+00,5.217391304348e-01,-8.313995192837e-03,-5.786413797221e-06,-8.308208779040e-03
3.300000000000e+00,6.521739130435e-01,-6.311976306825e-03,-6.101371213919e-06,-6.305874935612e-03
3.300000000000e+00,7.826086956522e-01,3.526998849097e-03,-6.516306955387e-06,3.533515156052e-03
3.300000000000e+00,9.130434782609e-01,-7.244972516700e-03,-7.053903361678e-06,-7.237918613339e-03
3.300000000000e+00,1.043478260870e+00,2.369232521643e-03,-7.746354660728e-06,2.376978876303e-03
3.300000000000e+00,1.173913043478e+00,-1.176712244067e-02,-8.639765626559e-06,-1.175848267504e-02
3.300000000000e+00,1.304347826087e+00,4.152897066893e-03,-9.801274982989e-06,4.162698341876e-03
3.300000000000e+00,1.434782608696e+00,-4.020428348453e-03,-1.133095032438e-05,-4.009097398128e-03
4.000000000000e+00,-1.434782608696e+00,-1.118409203646e-02,-4.547682349178e-06,-1.117954435411e-02
4.000000000000e+00,-1.304347826087e+00,-1.645978569248e-03,-4.162647959632e-06,-1.641815921288e-03
4.000000000000e+00,-1.173913043478e+00,-7.398612332568e-03,-3.849443940591e-06,-7.394762888627e-03
4.000000000000e+00,-1.043478260870e+00,1.624987186396e-02,-3.594188194963e-06,1.625346605216e-02
4.000000000000e+00,-9.130434782609e-01,3.810996480531e-03,-3.386524814011e-06,3.814383005345e-03
4.000000000000e+00,-7.826086956522e-01,-3.449753458600e-04,-3.218667741317e-06,-3.417566781187e-04
4.000000000000e+00,-6.521739130435e-01,3.595619763614e-03,-3.084744972541e-06,3.598704508586e-03
4.000000000000e+00,-5.217391304348e-01,7.591178685667e-03,-2.980343318750e-06,7.594159028986e-03
4.000000000000e+00,-3.913043478261e-01,4.959225541866e-03,-2.902190429122e-06,4.962127732295e-03
4.000000000000e+00,-2.608695652174e-01,9.303038583334e-03,-2.847933379788e-06,9.305886516713e-03
4.000000000000e+00,-1.304347826087e-01,8.372267984897e-04,-2.815987493654e-06,8.400427859834e-04
4.000000000000e+00,-6.938893903907e-17,2.245675245018e-02,-2.805438483398e-06,2.245955788866e-02
4.000000000000e+00,1.304347826087e-01,8.372348337645e-04,-2.815987493654e-06,8.400508212582e-04
4.000000000000e+00,2.608695652174e-01,9.303049732150e-03,-2.847933379787e-06,9.305897665530e-03
