t,p_dibem_0_4_0_0_,p_exact_0_4_0_0_,error_0_4_0_0_,p_dibem_0_7_0_0_,p_exact_0_7_0_0_,error_0_7_0_0_,p_dibem_0_5_0_5_,p_exact_0_5_0_5_,error_0_5_0_5_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-02,1.702343987864e-10,6.832084466981e-14,1.701660779417e-10,1.692976664557e-10,6.832275387862e-14,1.692293437018e-10,2.010690805923e-10,6.832358717528e-14,2.010007570051e-10
2.000000000000e-02,1.090006768326e-09,3.866337547027e-13,1.089620134572e-09,1.574138886034e-09,3.866445729178e-13,1.573752241462e-09,1.372980002296e-09,3.866492885418e-13,1.372593353008e-09
3.000000000000e-02,3.594613991735e-09,1.272830095920e-12,3.593341161639e-09,3.718426986478e-09,1.272865804099e-12,3.717154120674e-09,4.283911310749e-09,1.272881328194e-12,4.282638429421e-09
4.000000000000e-02,9.919517547589e-09,3.412835576517e-12,9.916104712012e-09,7.345829654559e-09,3.412931804293e-12,7.342416722755e-09,9.165609665124e-09,3.412973428794e-12,9.162196691695e-09
5.000000000000e-02,2.311871135190e-08,8.214571884614e-12,2.311049678001e-08,1.877930065696e-08,8.214805717310e-12,1.877108585124e-08,2.138139731952e-08,8.214905905726e-12,2.137318241361e-08
6.000000000000e-02,5.086269331317e-08,1.847841536092e-11,5.084421489781e-08,4.813663623075e-08,1.847895078305e-11,4.811815727996e-08,4.892461195177e-08,1.847917615427e-11,4.890613277562e-08
7.000000000000e-02,1.076238150660e-07,3.956365976787e-11,1.075842514062e-07,1.048218632704e-07,3.956484410569e-11,1.047822984263e-07,1.049845220358e-07,3.956532664171e-11,1.049449567092e-07
8.000000000000e-02,2.166949484090e-07,8.133944658095e-11,2.166136089624e-07,2.143521288443e-07,8.134202764184e-11,2.142707868166e-07,2.188945440590e-07,8.134301969540e-11,2.188132010393e-07
9.000000000000e-02,4.250926469965e-07,1.612776924045e-10,4.249313693041e-07,4.239654584256e-07,1.612833506578e-10,4.238041750749e-07,4.353241487927e-07,1.612853176791e-10,4.351628634750e-07
1.000000000000e-01,8.051523313805e-07,3.090822414748e-10,8.048432491390e-07,8.119025397945e-07,3.090950103293e-10,8.115934447842e-07,8.289588875945e-07,3.090987800725e-10,8.286497888145e-07
1.100000000000e-01,1.474834507704e-06,5.731814635183e-10,1.474261326240e-06,1.497752766826e-06,5.732117528245e-10,1.497179555073e-06,1.521054552181e-06,5.732187437395e-10,1.520481333437e-06
1.200000000000e-01,2.626036183996e-06,1.029161663856e-09,2.625007022332e-06,2.675891421796e-06,1.029237954731e-09,2.674862183841e-06,2.703949587217e-06,1.029250507366e-09,2.702920336710e-06
1.300000000000e-01,4.537160257396e-06,1.789703189718e-09,4.535370554206e-06,4.633681124423e-06,1.789905979954e-09,4.631891218443e-06,4.666901857162e-06,1.789927809717e-09,4.665111929352e-06
1.400000000000e-01,7.600687088265e-06,3.014749083288e-09,7.597672339182e-06,7.774177281730e-06,3.015307631497e-09,7.771161974098e-06,7.813153230563e-06,3.015344406244e-09,7.810137886157e-06
1.500000000000e-01,1.234889208852e-05,4.919516047315e-09,1.234397257247e-05,1.263749851485e-05,4.921076666037e-09,1.263257743819e-05,1.268652996763e-05,4.921136683632e-09,1.268160883095e-05
1.600000000000e-01,1.944941827029e-05,7.776700966391e-09,1.944164156932e-05,1.991614326769e-05,7.781047898212e-09,1.990836221979e-05,1.997393385747e-05,7.781142796130e-09,1.996615271467e-05
1.700000000000e-01,2.969640278605e-05,1.190812438924e-08,2.968449466166e-05,3.042619496557e-05,1.192005310364e-08,3.041427491247e-05,3.048822620177e-05,1.192019848096e-08,3.047630600329e-05
1.800000000000e-01,4.395745545114e-05,1.766041851198e-08,4.393979503263e-05,4.504873073846e-05,1.769244170628e-08,4.503103829676e-05,4.511534650877e-05,1.769265748367e-08,4.509765385128e-05
1.900000000000e-01,6.309622409542e-05,2.535938764251e-08,6.307086470778e-05,6.464985019662e-05,2.544316658455e-08,6.462440703003e-05,6.470696022760e-05,2.544347688970e-08,6.468151675072e-05
2.000000000000e-01,8.782162101051e-05,3.523799026668e-08,8.778638302024e-05,8.991061993131e-05,3.545120072250e-08,8.987516873059e-05,8.995652487546e-05,3.545163308626e-08,8.992107324237e-05
2.100000000000e-01,1.185592244521e-04,4.733209190368e-08,1.185118923602e-04,1.211754982095e-04,4.785956237227e-08,1.211276386471e-04,1.212073544296e-04,4.786014606835e-08,1.211594942835e-04
2.200000000000e-01,1.552944307846e-04,6.133305040677e-08,1.552330977342e-04,1.582620727642e-04,6.260160533846e-08,1.581994711588e-04,1.582793679589e-04,6.260236882845e-08,1.582167655901e-04
2.300000000000e-01,1.974484651440e-04,7.637112254514e-08,1.973720940214e-04,2.003132848360e-04,7.933810360271e-08,2.002339467324e-04,2.003085972886e-04,7.933907121085e-08,2.002292582174e-04
2.400000000000e-01,2.438298797474e-04,9.066947315007e-08,2.437392102743e-04,2.457038897708e-04,9.742225097938e-08,2.456064675199e-04,2.456690140143e-04,9.742343914349e-08,2.455715905752e-04
