t,p_trixi_0_4_0_0_,p_dibem_0_4_0_0_,p_exact_0_4_0_0_,p_trixi_0_7_0_0_,p_dibem_0_7_0_0_,p_exact_0_7_0_0_,p_trixi_0_5_0_5_,p_dibem_0_5_0_5_,p_exact_0_5_0_5_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-02,-1.939299757473e-16,-9.381502828424e-14,6.832081735988e-14,-3.773458235785e-26,6.616790564783e-17,6.832298874172e-14,-1.890006300531e-36,-7.932404608636e-18,6.832305424475e-14
2.000000000000e-02,-6.983327956840e-15,-9.472717041404e-13,3.866335883432e-13,-1.041169441871e-21,6.403066633306e-16,3.866459019986e-13,-2.955904690355e-28,-8.079528868263e-17,3.866462727339e-13
3.000000000000e-02,-4.740964941101e-14,-4.972004023888e-12,1.272829469128e-12,-3.666126228080e-20,3.174513849255e-15,1.272870179534e-12,-3.679594886695e-26,-4.280177390476e-16,1.272871400140e-12
4.000000000000e-02,-1.742325103767e-13,-1.849535680169e-11,3.412833497369e-12,-4.079980632438e-19,1.098427462744e-14,3.412943535978e-12,-8.450568202706e-25,-1.605201829436e-15,3.412946808941e-12
5.000000000000e-02,-4.150421009883e-13,-5.568875266881e-11,8.214565109106e-12,-1.804221724100e-18,3.031971168823e-14,8.214833955084e-12,-6.534486253827e-24,-4.857065924999e-15,8.214841832880e-12
6.000000000000e-02,-7.735509428526e-13,-1.458372815269e-10,1.847839283640e-11,-2.971899946986e-18,7.188067110247e-14,1.847901430289e-11,-1.573494116018e-23,-1.271546444142e-14,1.847903202414e-11
7.000000000000e-02,-1.355105740150e-12,-3.465020872700e-10,3.956358320819e-11,2.048111449076e-18,1.530268850898e-13,3.956498010668e-11,1.911260710071e-24,-2.999492412184e-14,3.956501804925e-11
8.000000000000e-02,-2.658999976392e-12,-7.663921499312e-10,8.133918390439e-11,1.955158801510e-17,3.007081913738e-13,8.134230724899e-11,5.331777892447e-23,-6.534420184520e-14,8.134238525638e-11
9.000000000000e-02,-5.602129939591e-12,-1.603185796671e-09,1.612767961189e-10,2.933983362894e-17,5.544213296039e-13,1.612839050566e-10,-1.048356253455e-22,-1.334561562695e-13,1.612840597266e-10
