t,p_trixi_0_4_0_0_,p_dibem_0_4_0_0_,p_exact_0_4_0_0_,p_trixi_0_7_0_0_,p_dibem_0_7_0_0_,p_exact_0_7_0_0_,p_trixi_0_5_0_5_,p_dibem_0_5_0_5_,p_exact_0_5_0_5_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-02,-1.939299757473e-16,1.160198789408e-10,6.832078710332e-14,-3.773458235785e-26,1.582572801804e-10,6.832322727025e-14,-1.890006300531e-36,1.704447314215e-10,6.832342676113e-14
2.000000000000e-02,-6.983327956840e-15,9.829324347964e-10,3.866333960000e-13,-1.041169441871e-21,1.008972824710e-09,3.866472517737e-13,-2.955904690355e-28,9.013880426416e-10,3.866483808324e-13
3.000000000000e-02,-4.740964941101e-14,3.133337306801e-09,1.272828695990e-12,-3.666126228080e-20,3.564789438391e-09,1.272874622934e-12,-3.679594886695e-26,3.684898076403e-09,1.272878340124e-12
4.000000000000e-02,-1.742325103767e-13,7.880337971441e-09,3.412830728195e-12,-4.079980632438e-19,8.945347969050e-09,3.412955449943e-12,-8.450568202706e-25,9.340178671096e-09,3.412965417156e-12
5.000000000000e-02,-4.150421009883e-13,1.814876850760e-08,8.214555395628e-12,-1.804221724100e-18,1.978394708490e-08,8.214862631318e-12,-6.534486253827e-24,2.001605894772e-08,8.214886622106e-12
6.000000000000e-02,-7.735509428526e-13,4.212730641570e-08,1.847835862903e-11,-2.971899946986e-18,4.163966734122e-08,1.847907880927e-11,-1.573494116018e-23,4.020699184805e-08,1.847913277646e-11
7.000000000000e-02,-1.355105740150e-12,8.930860746858e-08,3.956346261366e-11,2.048111449076e-18,8.507783038073e-08,3.956511821876e-11,1.911260710071e-24,8.221128485996e-08,3.956523376704e-11
8.000000000000e-02,-2.658999976392e-12,1.826878614767e-07,8.133876265957e-11,1.955158801510e-17,1.714872865949e-07,8.134259119487e-11,5.331777892447e-23,1.670564256408e-07,8.134282875395e-11
9.000000000000e-02,-5.602129939591e-12,3.612493029834e-07,1.612753520573e-10,2.933983362894e-17,3.391000656467e-07,1.612844680576e-10,-1.048356253455e-22,3.309987442726e-07,1.612849390855e-10
1.000000000000e-01,-1.162701540288e-11,6.808234069601e-07,3.090744092568e-10,-1.332055171127e-17,6.525512102590e-07,3.090971517937e-10,-6.648313259315e-22,6.327084991198e-07,3.090980545142e-10
1.100000000000e-01,-2.352483161250e-11,1.243768297849e-06,5.731559678194e-10,-1.415456468786e-16,1.209844843011e-06,5.732157241294e-10,-6.507539136176e-22,1.184066086112e-06,5.732173982077e-10
1.200000000000e-01,-4.486953593994e-11,2.208984421855e-06,1.029081183341e-09,-2.483754377154e-16,2.171714339968e-06,1.029245085437e-09,1.720106754957e-21,2.143427100455e-06,1.029248091367e-09
1.300000000000e-01,-8.115986026021e-11,3.797725377220e-06,1.789457229471e-09,-1.259063110838e-16,3.764550583862e-06,1.789918380681e-09,4.137283142961e-21,3.721978144589e-06,1.789923608193e-09
1.400000000000e-01,-1.432804605785e-10,6.343016507132e-06,3.014021812578e-09,3.827729142903e-16,6.325927396397e-06,3.015328521912e-09,-2.339579401249e-21,6.254367626803e-06,3.015337328297e-09
1.500000000000e-01,-2.536190258435e-10,1.028070294568e-05,4.917435740350e-09,9.928009342013e-16,1.029650440596e-05,4.921110759877e-09,-2.243095616552e-20,1.017359950974e-05,4.921125132252e-09
1.600000000000e-01,-4.459878144713e-10,1.615866774508e-05,7.770943277535e-09,8.921768911510e-16,1.623622478949e-05,7.781101806182e-09,-3.271033054251e-20,1.604032341355e-05,7.781124531487e-09
1.700000000000e-01,-7.808438180772e-10,2.464143126554e-05,1.189269885195e-08,-7.647105234513e-16,2.480556224620e-05,1.192013568723e-08,2.130797265904e-21,2.451766501133e-05,1.192017050098e-08
1.800000000000e-01,-1.407969220120e-09,3.644754522466e-05,1.762039193911e-08,-4.257771370314e-15,3.672432748176e-05,1.769256428139e-08,7.107756811965e-20,3.631858257117e-05,1.769261595420e-08
1.900000000000e-01,-2.531892432969e-09,5.226907447067e-05,2.525872638391e-08,-7.735887977718e-15,5.268720536513e-05,2.544334285703e-08,3.115376823121e-20,5.213662744828e-05,2.544341716679e-08
2.000000000000e-01,-4.506397708179e-09,7.267168424881e-05,3.499245938899e-08,-8.346323279249e-15,7.324628056803e-05,3.545144633214e-08,-2.648681322970e-19,7.253985943378e-05,3.545154987170e-08
2.100000000000e-01,-8.047514631941e-09,9.794282993869e-05,4.675075200560e-08,-3.003565456091e-15,9.867137136942e-05,4.785989394796e-08,-7.652337855916e-19,9.781725369506e-05,4.786003372775e-08
2.200000000000e-01,-1.436131002201e-08,1.279508898420e-04,5.999582470773e-08,7.670679830578e-15,1.287994446673e-04,6.260203904765e-08,-9.727229908268e-19,1.278384383321e-04,6.260222188459e-08
2.300000000000e-01,-2.515729694231e-08,1.620101428087e-04,7.338014171779e-08,1.688770741764e-14,1.629194499424e-04,7.933865326415e-08,-5.736456032363e-19,1.619219507291e-04,7.933888498176e-08
2.400000000000e-01,-4.334934266823e-08,1.988358653677e-04,8.415848146537e-08,1.223252185774e-14,1.997016635966e-04,9.742292592934e-08,-3.472648368817e-19,1.987734433357e-04,9.742321046711e-08
2.500000000000e-01,-7.509814291009e-08,2.365300927680e-04,8.713460279873e-08,-2.702401871828e-14,2.372033381021e-04,1.159091639900e-07,-3.643213621929e-18,2.364904385557e-04,1.159095025188e-07
2.600000000000e-01,-1.276288716491e-07,2.727324779638e-04,7.273830767438e-08,-1.143452102078e-13,2.730080782290e-04,1.336148748080e-07,-1.420226687466e-17,2.726911382917e-04,1.336152650507e-07
2.700000000000e-01,-2.128432820020e-07,3.048432998963e-04,2.352761013684e-08,-2.578682671562e-13,3.044885603589e-04,1.492355831006e-07,-3.376940874455e-17,3.047381787206e-04,1.492360189657e-07
2.800000000000e-01,-3.551622862514e-07,3.303416051690e-04,-9.206150920208e-08,-4.610292276012e-13,3.290845198940e-04,1.614992749252e-07,-6.214359417498e-17,3.300462157096e-04,1.614997466093e-07
2.900000000000e-01,-5.875481525602e-07,3.470977766272e-04,-3.306077336749e-07,-7.136843714033e-13,3.446640774395e-04,1.693360479251e-07,-1.064995276987e-16,3.464214846310e-04,1.693365424987e-07
3.000000000000e-01,-9.577076867737e-07,3.536854476057e-04,-7.921629679450e-07,-1.015258371456e-12,3.498262728879e-04,1.720318788049e-07,-2.081554582058e-16,3.523689692344e-04,1.720323812540e-07
3.100000000000e-01,-1.550214524499e-06,3.495366030350e-04,-1.650635557513e-06,-1.398548600751e-12,3.441128741721e-04,1.693359275130e-07,-4.839355809492e-16,3.473052663570e-04,1.693364220884e-07
3.200000000000e-01,-2.518264358239e-06,3.349513449374e-04,-3.202346790595e-06,-1.991138320802e-12,3.280757299865e-04,1.614990341039e-07,-1.207661255529e-15,3.316718163761e-04,1.614995057910e-07
3.300000000000e-01,-4.045221130232e-06,3.108936434409e-04,-5.941331664678e-06,-3.057899372446e-12,3.031921898025e-04,1.492352218669e-07,-2.767544363657e-15,3.068476967164e-04,1.492356577367e-07
3.400000000000e-01,-6.425960750973e-06,2.786048959088e-04,-1.067253977038e-05,-5.116045808156e-12,2.716557109535e-04,1.336143931647e-07,-5.825161849841e-15,2.749442064905e-04,1.336147834116e-07
3.500000000000e-01,-1.030663474437e-05,2.390211371192e-04,-1.867652678495e-05,-9.463761509796e-12,2.360353159058e-04,1.159085619360e-07,-1.223744136737e-14,2.385207167915e-04,1.159089004678e-07
3.600000000000e-01,-1.641949702687e-05,1.921014686440e-04,-3.194075090556e-05,-1.795557769387e-11,1.989497340161e-04,9.742220346038e-08,-2.576310876272e-14,2.002447480223e-04,9.742248800735e-08
3.700000000000e-01,-2.591574429983e-05,1.360763952181e-04,-5.347200568253e-05,-3.345840442037e-11,1.627370747781e-04,7.933781037315e-08,-5.470153466239e-14,1.625867234880e-04,7.933804210892e-08
3.800000000000e-01,-4.091861642990e-05,6.677593359800e-05,-8.770017564981e-05,-6.104212665927e-11,1.292485362143e-04,6.260107570285e-08,-1.191280938928e-13,1.275678273047e-04,6.260125859995e-08
3.900000000000e-01,-6.464705571971e-05,-2.300018628835e-05,-1.409733802832e-04,-1.080171338877e-10,9.972718636546e-05,4.785881003621e-08,-2.621563987777e-13,9.663376227993e-05,4.785895001823e-08
4.000000000000e-01,-1.009835968882e-04,-1.439432234798e-04,-2.221266007069e-04,-1.828675801292e-10,7.478574566311e-05,3.545024143735e-08,-5.560067993035e-13,7.059327985574e-05,3.545034571203e-08
4.100000000000e-01,-1.559248907583e-04,-3.103946810218e-04,-3.430784781857e-04,-2.993866110380e-10,5.450412165065e-05,2.544201553199e-08,-1.136586773644e-12,4.969793436695e-05,2.544209244093e-08
4.200000000000e-01,-2.411684240750e-04,-5.402573971495e-04,-5.193738602025e-04,-4.892603253948e-10,3.855542577062e-05,1.769110966889e-08,-2.350194623239e-12,3.373083658697e-05,1.769117025804e-08
4.300000000000e-01,-3.667672391222e-04,-8.544637596548e-04,-7.705449068149e-04,-7.939077195484e-10,2.637574344143e-05,1.191853806459e-08,-4.740058945613e-12,2.215162764027e-05,1.191860240941e-08
4.400000000000e-01,-5.475478720402e-04,-1.275971054986e-03,-1.120116581962e-03,-1.290550911705e-09,1.730314742250e-05,7.779312094348e-09,-9.363273606163e-12,1.422946665679e-05,7.779429271066e-09
4.500000000000e-01,-8.089218020718e-04,-1.828207705753e-03,-1.595042659409e-03,-2.146082085577e-09,1.068963939415e-05,4.918981080506e-09,-1.875597856130e-11,9.159652238737e-06,4.919287242960e-09
4.600000000000e-01,-1.174290957895e-03,-2.532953062250e-03,-2.224339562603e-03,-3.605966737247e-09,5.963065173745e-06,3.012428728701e-09,-3.760523459266e-11,6.163056886695e-06,3.013308540552e-09
4.700000000000e-01,-1.666645133416e-03,-3.407668035381e-03,-3.036703866037e-03,-6.000979749438e-09,2.672197859449e-06,1.785039881034e-09,-7.402606804334e-11,4.534380931350e-06,1.787558476774e-09
4.800000000000e-01,-2.317783794184e-03,-4.462389756687e-03,-4.056971600690e-03,-9.859210904995e-09,4.730016035073e-07,1.019105694735e-09,-1.442578568953e-10,3.688301493155e-06,1.026123528532e-09
4.900000000000e-01,-3.165775670134e-03,-5.696387658487e-03,-5.301415789889e-03,-1.606101917740e-08,-8.844006282180e-07,5.491947684338e-10,-2.848368739274e-10,3.184405025822e-06,5.681445247933e-10
5.000000000000e-01,-4.218474399329e-03,-7.094872122369e-03,-6.772085236097e-03,-2.550546585009e-08,-1.585383525788e-06,2.492807252483e-10,-5.519801771360e-10,2.715436247114e-06,2.988479526142e-10
5.100000000000e-01,-5.486352873513e-03,-8.626101816689e-03,-8.450649488134e-03,-3.968080602964e-08,-1.777353298721e-06,1.171783963633e-11,-1.049095100292e-09,2.113262824176e-06,1.373761735791e-10
5.200000000000e-01,-6.983690519136e-03,-1.023931751514e-02,-1.029249993099e-02,-6.207666408256e-08,-1.592040005068e-06,-2.867475419673e-10,-2.033561490506e-09,1.319179482768e-06,2.221374032233e-11
5.300000000000e-01,-8.665599478485e-03,-1.186393709938e-02,-1.222211332460e-02,-9.755722960605e-08,-1.149730268569e-06,-8.452326413059e-10,-3.914270907129e-09,3.720915788881e-07,-1.078757574375e-10
5.400000000000e-01,-1.047861935036e-02,-1.341034767599e-02,-1.413084557455e-02,-1.546824340698e-07,-5.674120943785e-07,-2.053525676080e-09,-7.424946223384e-09,-6.248595925903e-07,-3.439965122095e-10
5.500000000000e-01,-1.234539236027e-02,-1.477264283874e-02,-1.587832015155e-02,-2.505287209683e-07,6.236156395619e-08,-4.716446823501e-09,-1.411404022093e-08,-1.523464540645e-06,-8.627528217859e-10
5.600000000000e-01,-1.414194258331e-02,-1.583341398019e-02,-1.729835007694e-02,-4.147537514473e-07,6.883900216804e-07,-1.048998896613e-08,-2.706160254605e-08,-2.160251455777e-06,-2.035964582630e-09
5.700000000000e-01,-1.573508479257e-02,-1.647055255843e-02,-1.820985868046e-02,-6.846760619343e-07,1.318164822227e-06,-2.271315362825e-08,-5.105025166256e-08,-2.374468118929e-06,-4.648936622280e-09
5.800000000000e-01,-1.697833699530e-02,-1.656579267906e-02,-1.843256422505e-02,-1.115937574664e-06,2.033856360762e-06,-4.795681968079e-08,-9.461273186755e-08,-2.028752075358e-06,-1.032797846384e-08
5.900000000000e-01,-1.765173054211e-02,-1.601449946687e-02,-1.780634593852e-02,-1.817624074156e-06,2.997530988884e-06,-9.883509172283e-08,-1.785575516818e-07,-1.018372182675e-06,-2.235817980829e-08
6.000000000000e-01,-1.764663489224e-02,-1.473598323963e-02,-1.621234714707e-02,-2.879004241065e-06,4.439969164686e-06,-1.989780014961e-07,-3.306838887506e-07,7.224287208546e-07,-4.720775156692e-08
6.100000000000e-01,-1.684411942406e-02,-1.268346851459e-02,-1.359316460476e-02,-4.430667790816e-06,6.624498021019e-06,-3.916018029155e-07,-5.997942828755e-07,3.219128758182e-06,-9.729600002593e-08
6.200000000000e-01,-1.509707379117e-02,-9.852729580928e-03,-9.969096104902e-03,-6.700473875568e-06,9.784416323676e-06,-7.538974771235e-07,-1.088269412590e-06,6.454622055636e-06,-1.958901927305e-07
6.300000000000e-01,-1.239843384778e-02,-6.288413212381e-03,-5.447510222494e-03,-9.954067831688e-06,1.402624244829e-05,-1.420550301077e-06,-1.959255097526e-06,1.035671933063e-05,-3.855460217521e-07
6.400000000000e-01,-8.821833080792e-03,-2.087157136263e-03,-2.230272324398e-04,-1.454485232573e-05,1.919170218040e-05,-2.621140229597e-06,-3.452486956811e-06,1.477424995770e-05,-7.422792502812e-07
6.500000000000e-01,-4.452181523995e-03,2.603191440756e-03,5.432679008960e-03,-2.112386475762e-05,2.468968002095e-05,-4.737930031586e-06,-5.988717354661e-06,1.942603586656e-05,-1.398732481056e-06
6.600000000000e-01,5.497093100386e-04,7.588649132103e-03,1.119117981836e-02,-3.103183189162e-05,2.928233903385e-05,-8.392485257387e-06,-1.039683221117e-05,2.381992625921e-05,-2.581017204565e-06
6.700000000000e-01,5.889436406273e-03,1.263848473156e-02,1.669583500459e-02,-4.590978669738e-05,3.084740076441e-05,-1.457136024597e-05,-1.764947660971e-05,2.713602658489e-05,-4.665643564961e-06
6.800000000000e-01,1.130310098686e-02,1.749853141001e-02,2.159532472703e-02,-6.849741591225e-05,2.612255339278e-05,-2.480213723876e-05,-2.927908944388e-05,2.806849771116e-05,-8.264860598739e-06
6.900000000000e-01,1.645791785466e-02,2.190761470324e-02,2.557796703628e-02,-1.045172915013e-04,1.046155290403e-05,-4.139050591618e-05,-4.839160199714e-05,2.462562618796e-05,-1.435049620422e-05
7.000000000000e-01,2.104832718845e-02,2.561591716480e-02,2.840232680736e-02,-1.605502587698e-04,-2.238490719203e-05,-6.772556578265e-05,-7.845726738283e-05,1.390924215454e-05,-2.442742744548e-05
7.100000000000e-01,2.483142175611e-02,2.840380874788e-02,2.992006622434e-02,-2.454981873026e-04,-8.041161493774e-05,-1.086526185453e-04,-1.242231907780e-04,-8.123031354251e-06,-4.076722618143e-05
7.200000000000e-01,2.755392297989e-02,3.009950735711e-02,3.008810352104e-02,-3.736771255258e-04,-1.733980371198e-04,-1.708988671723e-04,-1.935201552537e-04,-4.688421538135e-05,-6.670907803061e-05
7.300000000000e-01,2.903979668519e-02,3.059393775797e-02,2.896873767865e-02,-5.643555841914e-04,-3.127866004007e-04,-2.635165320077e-04,-2.974036165318e-04,-1.093397336970e-04,-1.070272803181e-04
7.400000000000e-01,2.930877516775e-02,2.985128150225e-02,2.671817217448e-02,-8.337720456885e-04,-5.113597185141e-04,-3.982798373125e-04,-4.461574644924e-04,-2.041046606346e-04,-1.683509827806e-04
7.500000000000e-01,2.838934473347e-02,2.791406236296e-02,2.356551068076e-02,-1.202537825435e-03,-7.826823216406e-04,-5.899388084987e-04,-6.537365384278e-04,-3.414191638456e-04,-2.596012364856e-04
7.600000000000e-01,2.628918908947e-02,2.490203470283e-02,1.978551989838e-02,-1.707644017186e-03,-1.140279515881e-03,-8.561980944736e-04,-9.468460504141e-04,-5.329432564044e-04,-3.923827644959e-04
7.700000000000e-01,2.331375871791e-02,2.100471106347e-02,1.566907250631e-02,-2.358545950944e-03,-1.596535815393e-03,-1.217260390276e-03,-1.338421792395e-03,-7.913460585001e-04,-5.812348277767e-04
7.800000000000e-01,1.968060034995e-02,1.646796489491e-02,1.149513716262e-02,-3.170215060532e-03,-2.161346547986e-03,-1.694761765315e-03,-1.847767538960e-03,-1.129633340216e-03,-8.436113088583e-04
7.900000000000e-01,1.562370093237e-02,1.157571810228e-02,7.507543039176e-03,-4.160661004450e-03,-2.840566729815e-03,-2.309942572755e-03,-2.502934326905e-03,-1.560208998492e-03,-1.199431864005e-03
8.000000000000e-01,1.143946979444e-02,6.628237807599e-03,3.898687246618e-03,-5.320244423122e-03,-3.634333013577e-03,-3.080954722746e-03,-3.318451179919e-03,-2.093660865525e-03,-1.670033835518e-03
