t,x,p_dibem,p_exact,error
8.000000000000e-01,-1.500000000000e+00,-1.283878680389e-10,-9.698637913684e-11,-3.140148890203e-11
8.000000000000e-01,-1.490000000000e+00,1.345449353341e-09,-9.698756926273e-11,1.442436922603e-09
8.000000000000e-01,-1.480000000000e+00,5.092124175831e-10,-9.698876033813e-11,6.062011779212e-10
8.000000000000e-01,-1.470000000000e+00,-7.135689916875e-10,-9.698993482774e-11,-6.165790568598e-10
8.000000000000e-01,-1.460000000000e+00,-1.350708632371e-09,-9.699109489584e-11,-1.253717537475e-09
8.000000000000e-01,-1.450000000000e+00,-1.305911176853e-09,-9.699227215444e-11,-1.208918904698e-09
8.000000000000e-01,-1.440000000000e+00,-7.639089561279e-10,-9.699340573759e-11,-6.669155503904e-10
8.000000000000e-01,-1.430000000000e+00,-8.433326282377e-11,-9.699455530360e-11,1.266129247983e-11
8.000000000000e-01,-1.420000000000e+00,3.578124858517e-10,-9.699569430433e-11,4.548081801561e-10
8.000000000000e-01,-1.410000000000e+00,4.929153581601e-10,-9.699680335524e-11,5.899121615154e-10
8.000000000000e-01,-1.400000000000e+00,4.044230837305e-10,-9.699792308410e-11,5.014210068146e-10
8.000000000000e-01,-1.390000000000e+00,1.983617810033e-10,-9.699904934813e-11,2.953608303514e-10
8.000000000000e-01,-1.380000000000e+00,-1.697474467475e-11,-9.700014032146e-11,8.002539564672e-11
8.000000000000e-01,-1.370000000000e+00,-1.600733906123e-10,-9.700121670420e-11,-6.307217390809e-11
8.000000000000e-01,-1.360000000000e+00,-2.004281415607e-10,-9.700229946345e-11,-1.034258420973e-10
8.000000000000e-01,-1.350000000000e+00,-1.501879772590e-10,-9.700337870673e-11,-5.318459855222e-11
8.000000000000e-01,-1.340000000000e+00,-5.447966808302e-11,-9.700445058497e-11,4.252478250195e-11
8.000000000000e-01,-1.330000000000e+00,1.557888793814e-11,-9.700551902839e-11,1.125844069665e-10
8.000000000000e-01,-1.320000000000e+00,2.700414608959e-11,-9.700658488464e-11,1.240107309742e-10
8.000000000000e-01,-1.310000000000e+00,1.892366953998e-11,-9.700762105939e-11,1.159312905994e-10
8.000000000000e-01,-1.300000000000e+00,1.563500837237e-11,-9.700867482236e-11,1.126436831947e-10
8.000000000000e-01,-1.290000000000e+00,1.215900574297e-11,-9.700970233479e-11,1.091687080778e-10
8.000000000000e-01,-1.280000000000e+00,-2.607559479607e-11,-9.701072884830e-11,7.093513405224e-11
8.000000000000e-01,-1.270000000000e+00,-7.564549261925e-11,-9.701173435368e-11,2.136624173444e-11
8.000000000000e-01,-1.260000000000e+00,-8.230646836722e-11,-9.701277588015e-11,1.470630751293e-11
8.000000000000e-01,-1.250000000000e+00,-3.904677668899e-11,-9.701379115544e-11,5.796701446644e-11
8.000000000000e-01,-1.240000000000e+00,3.344202416467e-13,-9.701476366037e-11,9.734918390202e-11
8.000000000000e-01,-1.230000000000e+00,-4.148996328215e-11,-9.701571889364e-11,5.552575561149e-11
8.000000000000e-01,-1.220000000000e+00,-1.004111404048e-10,-9.701673697671e-11,-3.394403428133e-12
8.000000000000e-01,-1.210000000000e+00,-9.282714376366e-11,-9.701771447809e-11,4.190570714431e-12
8.000000000000e-01,-1.200000000000e+00,-2.625146232152e-11,-9.701865604220e-11,7.076719372067e-11
8.000000000000e-01,-1.190000000000e+00,-3.628821739077e-12,-9.701960904915e-11,9.339078731007e-11
8.000000000000e-01,-1.180000000000e+00,-1.221842295750e-10,-9.702054777499e-11,-2.516368180004e-11
8.000000000000e-01,-1.170000000000e+00,-2.126870589217e-10,-9.702145891361e-11,-1.156656000081e-10
8.000000000000e-01,-1.160000000000e+00,-1.659907612090e-10,-9.702243033551e-11,-6.896833087347e-11
8.000000000000e-01,-1.150000000000e+00,-4.077985028255e-11,-9.702333292402e-11,5.624348264147e-11
8.000000000000e-01,-1.140000000000e+00,-7.123665592040e-11,-9.702426370882e-11,2.578760778843e-11
8.000000000000e-01,-1.130000000000e+00,-3.152715577392e-10,-9.702517114472e-11,-2.182463865945e-10
8.000000000000e-01,-1.120000000000e+00,-4.089722622103e-10,-9.702610878024e-11,-3.119461534300e-10
8.000000000000e-01,-1.110000000000e+00,-2.078013239532e-10,-9.702714985171e-11,-1.107741741015e-10
8.000000000000e-01,-1.100000000000e+00,9.931839616966e-11,-9.702865381788e-11,1.963470499875e-10
8.000000000000e-01,-1.090000000000e+00,1.236754931588e-11,-9.703162716092e-11,1.093991764768e-10
8.000000000000e-01,-1.080000000000e+00,-2.870909279542e-10,-9.703967113042e-11,-1.900512568238e-10
8.000000000000e-01,-1.070000000000e+00,-1.098603628186e-10,-9.706402844550e-11,-1.279633437308e-11
8.000000000000e-01,-1.060000000000e+00,6.242664128869e-10,-9.713932852104e-11,7.214057414079e-10
8.000000000000e-01,-1.050000000000e+00,1.225626808237e-09,-9.736763264028e-11,1.322994440878e-09
8.000000000000e-01,-1.040000000000e+00,4.861183241171e-10,-9.803988503458e-11,5.841582091517e-10
8.000000000000e-01,-1.030000000000e+00,-1.093420805741e-09,-9.995700422677e-11,-9.934638015144e-10
8.000000000000e-01,-1.020000000000e+00,-2.858562742161e-09,-1.052482349889e-10,-2.753314507172e-09
8.000000000000e-01,-1.010000000000e+00,-5.548429726851e-09,-1.193861893305e-10,-5.429043537521e-09
