t,p_dibem_0_4_0_0_,p_exact_0_4_0_0_,error_0_4_0_0_,p_dibem_0_7_0_0_,p_exact_0_7_0_0_,error_0_7_0_0_,p_dibem_0_5_0_5_,p_exact_0_5_0_5_,error_0_5_0_5_
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.000000000000e-02,9.679880631538e-11,6.832070124536e-14,9.673048561414e-11,1.657469630485e-10,6.832370841438e-14,1.656786393401e-10,1.820822460919e-10,6.832327170330e-14,1.820139228202e-10
2.000000000000e-02,1.445510388020e-09,3.866328039057e-13,1.445123755216e-09,1.143320919360e-09,3.866499746330e-13,1.142934269386e-09,8.795370711153e-10,3.866475032265e-13,8.791504236121e-10
3.000000000000e-02,3.898287609800e-09,1.272826055107e-12,3.897014783745e-09,3.133937199925e-09,1.272883586843e-12,3.132664316338e-09,3.480431822317e-09,1.272875450704e-12,3.479158946866e-09
4.000000000000e-02,9.767874113851e-09,3.412820280209e-12,9.764461293570e-09,7.572383429200e-09,3.412979484899e-12,7.568970449715e-09,9.370351152518e-09,3.412957669443e-12,9.366938194848e-09
5.000000000000e-02,2.297278394904e-08,8.214515829816e-12,2.296456943321e-08,1.919775987749e-08,8.214920482538e-12,1.918954495700e-08,2.226886634479e-08,8.214867973659e-12,2.226065147682e-08
6.000000000000e-02,5.162204818586e-08,1.847821256245e-11,5.160356997330e-08,4.572383018046e-08,1.847920894432e-11,4.570535097151e-08,4.792155579506e-08,1.847909082637e-11,4.790307670423e-08
7.000000000000e-02,1.070134410194e-07,3.956293640738e-11,1.069738780830e-07,1.012342811565e-07,3.956539684754e-11,1.011947157597e-07,9.801101659825e-08,3.956514394900e-11,9.797145145430e-08
8.000000000000e-02,2.099788764355e-07,8.133691822745e-11,2.098975395173e-07,2.112285576213e-07,8.134316403356e-11,2.111472144572e-07,1.994940535678e-07,8.134264409281e-11,1.994127109237e-07
9.000000000000e-02,4.146867243374e-07,1.612690796773e-10,4.145254552577e-07,4.048283254298e-07,1.612856038679e-10,4.046670398260e-07,3.945319426188e-07,1.612845729449e-10,3.943706580459e-07
1.000000000000e-01,7.864086849409e-07,3.090537542752e-10,7.860996311867e-07,7.669210242486e-07,3.090993285479e-10,7.666119249201e-07,7.568661186116e-07,3.090973528035e-10,7.565570212588e-07
1.100000000000e-01,1.446200457133e-06,5.730901767723e-10,1.445627366956e-06,1.408150687968e-06,5.732197608897e-10,1.407577468207e-06,1.402149531326e-06,5.732160968995e-10,1.401576315229e-06
1.200000000000e-01,2.566647807999e-06,1.028878579035e-09,2.565618929420e-06,2.519882733656e-06,1.029252333702e-09,2.518853481322e-06,2.519527280675e-06,1.029245754777e-09,2.518498034920e-06
1.300000000000e-01,4.419712245407e-06,1.788854063102e-09,4.417923391344e-06,4.378746622473e-06,1.789930985834e-09,4.376956691487e-06,4.377677878410e-06,1.789919544696e-09,4.375887958865e-06
1.400000000000e-01,7.376773020302e-06,3.012285549962e-09,7.373760734752e-06,7.365753237099e-06,3.015349756761e-09,7.362737887342e-06,7.365377594015e-06,3.015330482868e-09,7.362362263532e-06
1.500000000000e-01,1.195440384460e-05,4.912601297011e-09,1.194949124330e-05,1.200214328255e-05,4.921145415826e-09,1.199722213713e-05,1.200316370054e-05,4.921113960112e-09,1.199824258658e-05
1.600000000000e-01,1.879755756616e-05,7.757916101050e-09,1.878979965006e-05,1.894878522544e-05,7.781156603162e-09,1.894100406883e-05,1.894717108341e-05,7.781106866383e-09,1.893938997654e-05
1.700000000000e-01,2.868371571683e-05,1.185870579418e-08,2.867185701103e-05,2.897778858057e-05,1.192021963253e-08,2.896586836094e-05,2.897223437813e-05,1.192014343920e-08,2.896031423469e-05
1.800000000000e-01,4.245527112678e-05,1.753443826773e-08,4.243773668851e-05,4.293572972370e-05,1.769268887817e-08,4.291803703482e-05,4.292719152981e-05,1.769257578737e-08,4.290949895403e-05
1.900000000000e-01,6.095446407078e-05,2.504796070468e-08,6.092941611007e-05,6.163959770785e-05,2.544352203698e-08,6.161415418581e-05,6.162927201465e-05,2.544335940350e-08,6.160382865524e-05
2.000000000000e-01,8.489816354674e-05,3.449087096521e-08,8.486367267578e-05,8.574591491149e-05,3.545169599225e-08,8.571046321550e-05,8.573488540267e-05,3.545146938680e-08,8.569943393328e-05
2.100000000000e-01,1.147365099561e-04,4.559123509933e-08,1.146909187210e-04,1.155842601600e-04,4.786023099238e-08,1.155363999291e-04,1.155738208942e-04,4.785992507182e-08,1.155259609691e-04
2.200000000000e-01,1.504992358416e-04,5.738983967457e-08,1.504418460019e-04,1.509809974374e-04,6.260247991094e-08,1.509183949575e-04,1.509730610697e-04,6.260207975875e-08,1.509104589899e-04
2.300000000000e-01,1.916763476430e-04,6.768082975686e-08,1.916086668132e-04,1.911172448628e-04,7.933921199147e-08,1.910379056508e-04,1.911099089588e-04,7.933870485951e-08,1.910305702539e-04
2.400000000000e-01,2.371691848237e-04,7.201847260801e-08,2.370971663511e-04,2.344340048183e-04,9.742361201365e-08,2.343365812063e-04,2.344283630608e-04,9.742298928723e-08,2.343309400715e-04
2.500000000000e-01,2.853085431760e-04,6.192627255164e-08,2.852466169035e-04,2.786692676255e-04,1.159099802595e-07,2.785533576452e-04,2.786669394723e-04,1.159092393689e-07,2.785510302330e-04
2.600000000000e-01,3.339853807914e-04,2.166853713850e-08,3.339637122543e-04,3.210018396217e-04,1.336158157684e-07,3.208682238059e-04,3.210031698428e-04,1.336149617010e-07,3.208695548811e-04
2.700000000000e-01,3.808548333038e-04,-7.749543041399e-08,3.809323287342e-04,3.583251624436e-04,1.492366340660e-07,3.581759258095e-04,3.583288761333e-04,1.492356801512e-07,3.581796404531e-04
2.800000000000e-01,4.235782384374e-04,-2.873262932658e-07,4.238655647307e-04,3.876200774178e-04,1.615004122581e-07,3.874585770055e-04,3.876159448125e-04,1.614993799531e-07,3.874544454325e-04
2.900000000000e-01,4.600268265662e-04,-6.996250999576e-07,4.607264516662e-04,4.063411502335e-04,1.693372404472e-07,4.061718129930e-04,4.063203159004e-04,1.693361580466e-07,4.061509797423e-04
3.000000000000e-01,4.883835793932e-04,-1.474374773974e-06,4.898579541672e-04,4.127967679623e-04,1.720330903128e-07,4.126247348720e-04,4.127453734403e-04,1.720319906817e-07,4.125733414496e-04
3.100000000000e-01,5.070644584213e-04,-2.884952206633e-06,5.099494106279e-04,4.063924512530e-04,1.693371200358e-07,4.062231141330e-04,4.062944194249e-04,1.693360376374e-07,4.061250833873e-04
3.200000000000e-01,5.144330011107e-04,-5.388642648243e-06,5.198216437590e-04,3.877283429968e-04,1.615001714377e-07,3.875668428254e-04,3.875583055533e-04,1.614991391298e-07,3.873968064142e-04
3.300000000000e-01,5.083276881603e-04,-9.733277877909e-06,5.180609660383e-04,3.585011601505e-04,1.492362728369e-07,3.583519238776e-04,3.582295609768e-04,1.492353189182e-07,3.580803256578e-04
3.400000000000e-01,4.854622143004e-04,-1.711335022421e-05,5.025755645246e-04,3.212557597496e-04,1.336153341291e-07,3.211221444155e-04,3.208417094818e-04,1.336144800590e-07,3.207080950017e-04
3.500000000000e-01,4.408097710574e-04,-2.939072724790e-05,4.702004983053e-04,2.790180770313e-04,1.159093782125e-07,2.789021676531e-04,2.784174041299e-04,1.159086373134e-07,2.783014954926e-04
3.600000000000e-01,3.670969483923e-04,-4.939498170005e-05,4.164919300923e-04,2.348900696072e-04,9.742288955726e-08,2.347926467176e-04,2.340577584633e-04,9.742226681890e-08,2.339603361964e-04
3.700000000000e-01,2.545368171443e-04,-8.131476617900e-05,3.358515833233e-04,1.916836764391e-04,7.933836912469e-08,1.916043380700e-04,1.905805175066e-04,7.933786197387e-08,1.905011796447e-04
3.800000000000e-01,9.088381389640e-05,-1.311826169454e-04,2.220664308418e-04,1.516474245215e-04,6.260151663566e-08,1.515848230049e-04,1.502502819697e-04,6.260111643977e-08,1.501876808532e-04
3.900000000000e-01,-1.381199683684e-04,-2.074389490622e-04,6.931898069388e-05,1.163119621231e-04,4.785914730477e-08,1.162641029758e-04,1.146241470891e-04,4.785884125762e-08,1.145762882478e-04
