t,ricker,antiderivative
0.000000000000e+00,-1.844356558571e-05,-2.017567361216e-07
4.000000000000e-03,-2.613676780354e-05,-2.900652405215e-07
8.000000000000e-03,-3.683726316801e-05,-4.148484055895e-07
1.200000000000e-02,-5.163520226130e-05,-5.902106806439e-07
1.600000000000e-02,-7.198164417522e-05,-8.353073950902e-07
2.000000000000e-02,-9.979505515725e-05,-1.175993263831e-06
2.400000000000e-02,-1.375946003391e-04,-1.646948838034e-06
2.800000000000e-02,-1.886654073143e-04,-2.294402252395e-06
3.200000000000e-02,-2.572614718780e-04,-3.179585350709e-06
3.600000000000e-02,-3.488522360489e-04,-4.383086728500e-06
4.000000000000e-02,-4.704190171396e-04,-6.010288734742e-06
4.400000000000e-02,-6.308073066306e-04,-8.198099990820e-06
4.800000000000e-02,-8.411403734597e-04,-1.112321805404e-05
5.200000000000e-02,-1.115298466191e-03,-1.501217651995e-05
5.600000000000e-02,-1.470466067770e-03,-2.015344461269e-05
6.000000000000e-02,-1.927746964000e-03,-2.691185205141e-05
6.400000000000e-02,-2.512843193660e-03,-3.574560399622e-05
6.800000000000e-02,-3.256789120422e-03,-4.722612589110e-05
7.200000000000e-02,-4.196725800937e-03,-6.206093127542e-05
7.600000000000e-02,-5.376693465845e-03,-8.111963205101e-05
8.000000000000e-02,-6.848411298815e-03,-1.054631051075e-04
8.400000000000e-02,-8.672003906149e-03,-1.363756867204e-04
8.800000000000e-02,-1.091662314891e-02,-1.754000825214e-04
9.200000000000e-02,-1.366090273675e-02,-2.243744530869e-04
9.600000000000e-02,-1.699317169525e-02,-2.854708621118e-04
1.000000000000e-01,-2.101134222842e-02,-3.612339570293e-04
1.040000000000e-01,-2.582237849360e-02,-4.546183953240e-04
1.080000000000e-01,-3.154124644068e-02,-5.690231420508e-04
1.120000000000e-01,-3.828924233167e-02,-7.083203581229e-04
1.160000000000e-01,-4.619160013132e-02,-8.768761926226e-04
1.200000000000e-01,-5.537428694480e-02,-1.079560408775e-03
1.240000000000e-01,-6.595991230773e-02,-1.321741440447e-03
1.280000000000e-01,-7.806270245881e-02,-1.609263226856e-03
1.320000000000e-01,-9.178252549417e-02,-1.948400044017e-03
1.360000000000e-01,-1.071979978191e-01,-2.345785580815e-03
1.400000000000e-01,-1.243587563042e-01,-2.808312734220e-03
1.440000000000e-01,-1.432770430365e-01,-3.343001058170e-03
1.480000000000e-01,-1.639188187439e-01,-3.956829524711e-03
1.520000000000e-01,-1.861946941895e-01,-4.656533265974e-03
1.560000000000e-01,-2.099510425372e-01,-5.448364270649e-03
1.600000000000e-01,-2.349617254747e-01,-6.337817602330e-03
1.640000000000e-01,-2.609209266607e-01,-7.329326563707e-03
1.680000000000e-01,-2.874376322418e-01,-8.425932303060e-03
1.720000000000e-01,-3.140323239800e-01,-9.628935577798e-03
1.760000000000e-01,-3.401364503291e-01,-1.093754066114e-02
1.800000000000e-01,-3.650952096126e-01,-1.234850358802e-02
1.840000000000e-01,-3.881741133632e-01,-1.385579895297e-02
